"",BBK01.OELM04L,BBK01.OELM04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:46,
2002-01,0.185,
2002-04,0.193,
2002-07,0.188,
2002-10,0.212,
2003-01,0.149,
2003-04,0.147,
2003-07,0.174,
2003-10,0.217,
2004-01,0.172,
2004-04,0.206,
2004-07,0.187,
2004-10,0.278,
2005-01,0.215,
2005-04,0.296,
2005-07,0.277,
2005-10,0.400,
2006-01,0.229,
2006-04,0.284,
2006-07,0.302,
2006-10,0.554,
2007-01,0.324,
2007-04,0.342,
2007-07,0.393,
2007-10,0.587,
2008-01,0.272,
2008-04,0.319,
2008-07,0.311,
2008-10,0.389,
2009-01,0.404,
2009-04,0.351,
2009-07,0.363,
2009-10,0.431,
2010-01,0.348,
2010-04,0.374,
2010-07,0.440,
2010-10,0.497,
2011-01,0.476,
2011-04,0.503,
2011-07,0.518,
2011-10,0.608,
2012-01,0.477,
2012-04,0.410,
2012-07,0.415,
2012-10,0.395,
2013-01,0.416,
2013-04,0.480,
2013-07,0.548,
2013-10,0.522,
2014-01,0.499,
2014-04,0.447,
2014-07,0.464,
