"",BBFB1.Q.N.DE.W1.S1.S1.T.D.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.D.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:00,
1999-01,10313.271,
1999-04,13005.891,
1999-07,17772.233,
1999-10,11491.745,
2000-01,11169.483,
2000-04,14319.686,
2000-07,19394.491,
2000-10,12543.707,
2001-01,11738.223,
2001-04,14223.706,
2001-07,20096.821,
2001-10,11926.570,
2002-01,11521.026,
2002-04,13720.218,
2002-07,19028.052,
2002-10,11634.663,
2003-01,11390.142,
2003-04,14242.446,
2003-07,20642.588,
2003-10,11482.220,
2004-01,11267.396,
2004-04,14829.108,
2004-07,20111.275,
2004-10,11336.801,
2005-01,11696.866,
2005-04,14506.869,
2005-07,21395.965,
2005-10,12166.326,
2006-01,11421.244,
2006-04,14958.441,
2006-07,20915.411,
2006-10,11599.795,
2007-01,10928.451,
2007-04,14907.092,
2007-07,22303.383,
2007-10,12480.378,
2008-01,11565.054,
2008-04,15632.654,
2008-07,22580.029,
2008-10,12076.382,
2009-01,10545.426,
2009-04,14596.422,
2009-07,21146.434,
2009-10,11895.191,
2010-01,10334.801,
2010-04,15045.379,
2010-07,21125.323,
2010-10,12428.515,
2011-01,10521.648,
2011-04,15119.415,
2011-07,22949.876,
2011-10,13094.962,
2012-01,11142.760,
2012-04,15313.687,
2012-07,23772.576,
2012-10,13020.067,
2013-01,12131.427,
2013-04,15901.490,
2013-07,25949.017,
2013-10,14812.346,
2014-01,11480.174,Provisional value
2014-04,16592.712,Provisional value
2014-07,26995.404,Provisional value
2014-10,15382.259,Provisional value
