"",BBK01.OEHK03O,BBK01.OEHK03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:39,
2002-01,0.516,
2002-04,0.497,
2002-07,0.499,
2002-10,0.486,
2003-01,0.487,
2003-04,0.476,
2003-07,0.473,
2003-10,0.451,
2004-01,0.448,
2004-04,0.433,
2004-07,0.420,
2004-10,0.399,
2005-01,0.386,
2005-04,0.373,
2005-07,0.380,
2005-10,0.369,
2006-01,0.388,
2006-04,0.382,
2006-07,0.412,
2006-10,0.436,
2007-01,0.415,
2007-04,0.410,
2007-07,0.451,
2007-10,0.496,
2008-01,0.524,
2008-04,0.550,
2008-07,0.598,
2008-10,0.683,
2009-01,0.540,
2009-04,0.419,
2009-07,0.337,
2009-10,0.295,
2010-01,0.251,
2010-04,0.242,
2010-07,0.248,
2010-10,0.240,
2011-01,0.253,
2011-04,0.244,
2011-07,0.261,
2011-10,0.263,
2012-01,0.252,
2012-04,0.227,
2012-07,0.210,
2012-10,0.192,
2013-01,0.153,
2013-04,0.151,
2013-07,0.134,
2013-10,0.131,
2014-01,0.125,
2014-04,0.125,
2014-07,0.122,
