"",BBFN1.M.DE.N.1.A.W1.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:22,
1974-12,25.633,
1975-01,25.608,
1975-02,25.551,
1975-03,25.990,
1975-04,25.618,
1975-05,25.754,
1975-06,25.719,
1975-07,24.656,
1975-08,24.389,
1975-09,24.841,
1975-10,25.234,
1975-11,25.701,
1975-12,25.777,
1976-01,25.849,
1976-02,26.285,
1976-03,26.798,
1976-04,27.450,
1976-05,27.909,
1976-06,28.433,
1976-07,28.182,
1976-08,27.878,
1976-09,29.042,
1976-10,29.817,
1976-11,30.167,
1976-12,30.809,
1977-01,31.004,
1977-02,31.950,
1977-03,32.905,
1977-04,33.363,
1977-05,33.831,
1977-06,34.187,
1977-07,33.536,
1977-08,33.105,
1977-09,33.816,
1977-10,34.533,
1977-11,34.813,
1977-12,34.165,
1978-01,34.059,
1978-02,34.781,
1978-03,34.849,
1978-04,34.917,
1978-05,35.046,
1978-06,35.830,
1978-07,35.007,
1978-08,34.962,
1978-09,36.519,
1978-10,37.200,
1978-11,37.175,
1978-12,36.805,
1979-01,36.753,
1979-02,37.374,
1979-03,38.510,
1979-04,38.567,
1979-05,39.496,
1979-06,40.022,
1979-07,39.438,
1979-08,39.101,
1979-09,40.251,
1979-10,41.452,
1979-11,41.931,
1979-12,40.883,
1980-01,41.579,
1980-02,42.747,
1980-03,43.827,
1980-04,43.929,
1980-05,44.271,
1980-06,44.624,
1980-07,43.597,
1980-08,43.043,
1980-09,43.964,
1980-10,44.276,
1980-11,45.627,
1980-12,44.764,
1981-01,44.424,
1981-02,45.809,
1981-03,46.940,
1981-04,47.879,
1981-05,48.002,
1981-06,48.856,
1981-07,48.603,
1981-08,48.335,
1981-09,49.869,
1981-10,51.005,
1981-11,51.578,
1981-12,50.413,
1982-01,50.762,
1982-02,52.273,
1982-03,52.929,
1982-04,53.514,
1982-05,54.209,
1982-06,53.744,
1982-07,52.559,
1982-08,51.491,
1982-09,52.705,
1982-10,53.440,
1982-11,53.765,
1982-12,51.460,
1983-01,51.282,
1983-02,52.170,
1983-03,52.200,
1983-04,52.644,
1983-05,52.753,
1983-06,53.166,
1983-07,52.300,
1983-08,51.523,
1983-09,53.641,
1983-10,54.075,
1983-11,55.300,
1983-12,54.541,
1984-01,54.830,
1984-02,56.058,
1984-03,56.846,
1984-04,56.840,
1984-05,57.358,
1984-06,56.205,
1984-07,55.977,
1984-08,55.696,
1984-09,57.492,
1984-10,58.665,
1984-11,59.859,
1984-12,58.574,
1985-01,57.830,
1985-02,58.873,
1985-03,59.809,
1985-04,60.464,
1985-05,60.498,
1985-06,60.834,
1985-07,59.391,
1985-08,57.296,
1985-09,58.710,
1985-10,60.321,
1985-11,60.889,
1985-12,58.919,
1986-01,57.711,
1986-02,58.541,
1986-03,59.367,
1986-04,59.815,
1986-05,59.265,
1986-06,60.006,
1986-07,58.230,
1986-08,56.389,
1986-09,57.883,
1986-10,57.921,
1986-11,58.821,
1986-12,56.873,
1987-01,54.767,
1987-02,55.349,
1987-03,56.227,
1987-04,56.467,
1987-05,57.027,
1987-06,56.762,
1987-07,55.112,
1987-08,54.127,
