"",BBSF2.M.1.T.00000.DRE01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.T.00000.DRE01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Funds total / Funds-of-funds: Bonds funds / Deposits and loan claims / Germany / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:30,
2009-09,206,
2009-10,103,
2009-11,94,
2009-12,58,
2010-01,70,
2010-02,53,
2010-03,58,
2010-04,40,
2010-05,80,
2010-06,60,
2010-07,42,
2010-08,63,
2010-09,70,
2010-10,56,
2010-11,38,
2010-12,40,
2011-01,40,
2011-02,28,
2011-03,80,
2011-04,89,
2011-05,53,
2011-06,75,
2011-07,64,
2011-08,63,
2011-09,68,
2011-10,74,
2011-11,76,
2011-12,48,
2012-01,28,
2012-02,203,
2012-03,163,
2012-04,37,
2012-05,30,
2012-06,29,
2012-07,30,
2012-08,201,
2012-09,183,
2012-10,176,
2012-11,130,
2012-12,115,
2013-01,56,
2013-02,27,
2013-03,39,
2013-04,35,
2013-05,47,
2013-06,140,
2013-07,134,
2013-08,82,
2013-09,129,
2013-10,95,
2013-11,88,
2013-12,108,
2014-01,100,
2014-02,68,
2014-03,75,
2014-04,65,
2014-05,41,
2014-06,41,
2014-07,42,
2014-08,38,
2014-09,46,
2014-10,37,
2014-11,40,
