"",BBK01.OEAO05L,BBK01.OEAO05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:46,
2002-01,0.071,
2002-04,0.060,
2002-07,0.083,
2002-10,1.048,
2003-01,0.060,
2003-04,0.055,
2003-07,0.070,
2003-10,0.935,
2004-01,0.088,
2004-04,0.072,
2004-07,0.094,
2004-10,0.921,
2005-01,0.103,
2005-04,0.093,
2005-07,0.102,
2005-10,0.902,
2006-01,0.129,
2006-04,0.087,
2006-07,0.105,
2006-10,0.925,
2007-01,0.096,
2007-04,0.085,
2007-07,0.099,
2007-10,0.923,
2008-01,0.065,
2008-04,0.060,
2008-07,0.077,
2008-10,0.849,
2009-01,0.060,
2009-04,0.055,
2009-07,0.065,
2009-10,0.698,
2010-01,0.079,
2010-04,0.068,
2010-07,0.081,
2010-10,0.709,
2011-01,0.071,
2011-04,0.072,
2011-07,0.083,
2011-10,0.607,
2012-01,0.079,
2012-04,0.070,
2012-07,0.087,
2012-10,0.549,
2013-01,0.079,
2013-04,0.054,
2013-07,0.062,
2013-10,0.422,
2014-01,0.064,
2014-04,0.062,
2014-07,0.064,
