"",BBK01.OEAF15J,BBK01.OEAF15J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:49,
2002-01,0.376,
2002-04,0.375,
2002-07,0.392,
2002-10,0.355,
2003-01,0.330,
2003-04,0.331,
2003-07,0.337,
2003-10,0.317,
2004-01,0.291,
2004-04,0.282,
2004-07,0.288,
2004-10,0.266,
2005-01,0.262,
2005-04,0.271,
2005-07,0.276,
2005-10,0.279,
2006-01,0.267,
2006-04,0.264,
2006-07,0.259,
2006-10,0.252,
2007-01,0.242,
2007-04,0.236,
2007-07,0.244,
2007-10,0.251,
2008-01,0.248,
2008-04,0.251,
2008-07,0.254,
2008-10,0.259,
2009-01,0.239,
2009-04,0.249,
2009-07,0.234,
2009-10,0.227,
2010-01,0.232,
2010-04,0.222,
2010-07,0.217,
2010-10,0.221,
2011-01,0.225,
2011-04,0.234,
2011-07,0.243,
2011-10,0.231,
2012-01,0.232,
2012-04,0.217,
2012-07,0.202,
2012-10,0.210,
2013-01,0.201,
2013-04,0.200,
2013-07,0.206,
2013-10,0.206,
2014-01,0.198,
2014-04,0.219,
2014-07,0.208,
