"",BBFN1.M.DE.N.1.L.W00200.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W00200.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Industrial countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:06:38,
1994-11,.,No value available
1994-12,.,No value available
1995-01,132.166,
1995-02,132.131,
1995-03,135.757,
1995-04,135.986,
1995-05,138.069,
1995-06,138.774,
1995-07,138.023,
1995-08,137.040,
1995-09,140.332,
1995-10,142.316,
1995-11,144.018,
1995-12,138.973,
1996-01,136.796,
1996-02,140.964,
1996-03,141.607,
1996-04,143.731,
1996-05,147.594,
1996-06,143.493,
1996-07,140.554,
1996-08,139.453,
1996-09,145.835,
1996-10,147.195,
1996-11,148.421,
1996-12,152.251,
1997-01,150.756,
1997-02,155.223,
1997-03,159.425,
1997-04,162.796,
1997-05,161.599,
1997-06,165.500,
1997-07,165.685,
1997-08,157.908,
1997-09,164.210,
1997-10,162.143,
1997-11,164.334,
1997-12,169.958,
1998-01,167.296,
1998-02,171.817,
1998-03,183.558,
1998-04,186.840,
1998-05,189.949,
1998-06,187.175,
1998-07,183.374,
1998-08,178.433,
1998-09,185.919,
1998-10,183.152,
1998-11,185.950,
1998-12,187.783,
1999-01,190.735,
1999-02,194.124,
1999-03,204.404,
1999-04,212.020,
1999-05,218.452,
1999-06,227.122,
1999-07,224.641,
1999-08,226.943,
1999-09,229.634,
1999-10,238.567,
1999-11,243.519,
1999-12,262.833,
2000-01,269.028,
2000-02,281.580,
2000-03,296.929,
2000-04,301.329,
2000-05,317.064,
2000-06,322.680,
2000-07,320.820,
2000-08,336.118,
2000-09,365.452,
2000-10,367.916,
2000-11,370.453,
2000-12,407.513,
2001-01,419.434,
2001-02,424.666,
2001-03,425.363,
2001-04,431.217,
2001-05,435.646,
2001-06,439.748,
2001-07,446.539,
2001-08,448.772,
2001-09,462.530,
2001-10,466.530,
2001-11,458.206,
2001-12,466.206,
2002-01,466.624,
2002-02,474.007,
2002-03,464.389,
2002-04,476.341,
2002-05,491.589,
2002-06,484.818,
2002-07,479.030,
2002-08,478.066,
2002-09,488.312,
2002-10,493.696,
2002-11,498.289,
2002-12,493.155,
2003-01,495.299,
2003-02,498.952,
2003-03,499.109,
2003-04,504.560,
2003-05,506.018,
2003-06,514.140,
2003-07,516.387,
2003-08,516.690,
2003-09,522.129,
2003-10,508.970,
2003-11,514.492,
2003-12,499.436,
2004-01,498.964,
2004-02,480.772,
2004-03,479.713,
2004-04,473.049,
2004-05,483.255,
2004-06,489.319,
2004-07,487.761,
2004-08,483.574,
2004-09,483.332,
2004-10,475.794,
2004-11,472.173,
2004-12,468.592,
2005-01,460.164,
2005-02,464.670,
2005-03,469.315,
2005-04,463.858,
2005-05,468.917,
2005-06,474.721,
2005-07,471.098,
2005-08,472.783,
2005-09,487.092,
2005-10,494.663,
2005-11,497.357,
2005-12,508.106,
2006-01,509.224,
2006-02,523.988,
2006-03,530.858,
2006-04,528.871,
2006-05,540.009,
2006-06,550.370,
2006-07,547.487,
2006-08,547.642,
2006-09,564.422,
2006-10,563.304,
2006-11,569.732,
2006-12,570.675,
2007-01,581.790,
2007-02,590.083,
2007-03,588.634,
2007-04,588.053,
2007-05,593.298,
2007-06,606.831,
2007-07,601.396,
2007-08,598.075,
2007-09,608.655,
2007-10,604.796,
2007-11,600.659,
2007-12,590.245,
2008-01,590.017,
2008-02,601.112,
2008-03,607.238,
2008-04,617.739,
2008-05,617.881,
2008-06,625.211,
2008-07,612.081,
2008-08,609.354,
2008-09,623.471,
2008-10,639.743,
2008-11,640.597,
2008-12,643.652,
2009-01,640.430,
2009-02,648.236,
2009-03,649.786,
2009-04,650.131,
2009-05,649.082,
2009-06,656.833,
2009-07,654.955,
2009-08,654.683,
2009-09,658.751,
2009-10,662.508,
2009-11,663.999,
2009-12,684.984,
2010-01,655.922,
2010-02,659.135,
2010-03,673.272,
2010-04,671.225,
2010-05,681.775,
2010-06,686.285,
2010-07,695.470,
2010-08,699.247,
2010-09,712.382,
2010-10,704.468,
2010-11,710.790,
2010-12,725.644,
2011-01,730.703,
2011-02,721.471,
2011-03,726.302,
2011-04,731.608,
2011-05,739.758,
2011-06,750.790,
2011-07,761.826,
2011-08,767.175,
2011-09,791.536,
2011-10,773.897,
2011-11,779.122,
2011-12,785.925,
2012-01,780.035,
2012-02,778.680,
2012-03,800.893,
2012-04,808.481,
2012-05,815.924,
2012-06,828.820,
2012-07,824.756,
2012-08,809.830,
2012-09,824.230,
2012-10,824.673,
2012-11,830.805,
2012-12,824.118,
2013-01,822.622,
2013-02,822.090,
2013-03,840.896,
2013-04,865.601,
2013-05,862.747,
2013-06,871.609,
2013-07,853.921,
2013-08,839.796,
2013-09,856.963,
2013-10,850.877,
2013-11,852.479,
2013-12,833.922,
2014-01,829.965,
2014-02,837.026,
2014-03,845.813,
2014-04,848.314,
2014-05,851.411,
2014-06,861.294,
2014-07,867.378,
2014-08,863.917,
2014-09,858.108,
2014-10,850.605,
2014-11,856.754,
2014-12,832.702,
"","General: Up to 1994, including the former Yugoslavia and South Africa; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
