"",BBEX3.M.ISK.USD.CA.AB.A01,BBEX3.M.ISK.USD.CA.AB.A01_FLAGS
2013-05,123.050,
2013-06,123.580,
2013-07,119.550,
2013-08,120.160,
2013-09,121.360,
2013-10,120.620,
2013-11,119.860,
2013-12,115.300,
2014-01,116.140,
2014-02,112.770,
2014-03,112.970,
2014-04,112.540,
2014-05,113.250,
2014-06,113.130,
2014-07,115.430,
2014-08,116.870,
2014-09,121.530,
2014-10,122.170,
2014-11,123.990,
2014-12,127.200,
2015-01,133.260,
"","General: Collapse of banking system and introduction of capital controls in October 2008, see Deutsche Bundesbank, Monthly Report, July 2010, pp 52-53. www.bundesbank.de/Redaktion/EN/Downloads/Publications/Monthly_Report/2010/2010_07_monthly_report.pdf?__blob=publicationFile",
"","Source: Sedlabanki Islands, Reykjavik.",
