"",BBK01.OEYB06J,BBK01.OEYB06J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:49,
2002-01,0.853,
2002-04,0.948,
2002-07,1.015,
2002-10,0.920,
2003-01,0.844,
2003-04,0.810,
2003-07,0.907,
2003-10,1.054,
2004-01,0.756,
2004-04,0.806,
2004-07,0.761,
2004-10,1.423,
2005-01,0.858,
2005-04,0.753,
2005-07,0.674,
2005-10,0.621,
2006-01,0.644,
2006-04,0.660,
2006-07,0.599,
2006-10,0.626,
2007-01,0.648,
2007-04,0.646,
2007-07,0.622,
2007-10,0.692,
2008-01,0.739,
2008-04,0.757,
2008-07,0.754,
2008-10,0.641,
2009-01,0.990,
2009-04,0.665,
2009-07,0.789,
2009-10,0.580,
2010-01,0.573,
2010-04,0.568,
2010-07,0.603,
2010-10,0.662,
2011-01,0.656,
2011-04,0.670,
2011-07,0.630,
2011-10,0.705,
2012-01,0.906,
2012-04,0.925,
2012-07,0.956,
2012-10,1.011,
2013-01,1.000,
2013-04,0.983,
2013-07,1.106,
2013-10,0.952,
2014-01,0.941,
2014-04,0.831,
2014-07,1.120,
