"",BBSF2.M.1.P.00000.SON01.I.F.SVB.DE.00000.F33200.Z01.M1,BBSF2.M.1.P.00000.SON01.I.F.SVB.DE.00000.F33200.Z01.M1_FLAGS
"",Public funds / Other funds / Long-term debt securities / Germany,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:12,
2009-09,297,
2009-10,249,
2009-11,531,
2009-12,522,
2010-01,199,
2010-02,199,
2010-03,192,
2010-04,192,
2010-05,163,
2010-06,156,
2010-07,157,
2010-08,159,
2010-09,158,
2010-10,156,
2010-11,155,
2010-12,154,
2011-01,165,
2011-02,154,
2011-03,170,
2011-04,176,
2011-05,178,
2011-06,192,
2011-07,271,
2011-08,273,
2011-09,273,
2011-10,187,
2011-11,175,
2011-12,257,
2012-01,256,
2012-02,230,
2012-03,157,
2012-04,165,
2012-05,170,
2012-06,160,
2012-07,168,
2012-08,182,
2012-09,183,
2012-10,183,
2012-11,180,
2012-12,174,
2013-01,180,
2013-02,180,
2013-03,188,
2013-04,186,
2013-05,178,
2013-06,171,
2013-07,177,
2013-08,163,
2013-09,143,
2013-10,187,
2013-11,155,
2013-12,154,
2014-01,153,
2014-02,156,
2014-03,156,
2014-04,152,
2014-05,178,
2014-06,199,
2014-07,211,
2014-08,213,
2014-09,195,
2014-10,227,
2014-11,231,
