"",BBK01.OEYB11L,BBK01.OEYB11L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:08,
2002-01,4.227,
2002-04,4.314,
2002-07,4.691,
2002-10,5.602,
2003-01,5.419,
2003-04,5.789,
2003-07,6.318,
2003-10,7.044,
2004-01,7.104,
2004-04,7.458,
2004-07,7.404,
2004-10,7.663,
2005-01,7.900,
2005-04,7.764,
2005-07,9.647,
2005-10,9.613,
2006-01,10.365,
2006-04,10.649,
2006-07,9.843,
2006-10,9.304,
2007-01,9.352,
2007-04,9.375,
2007-07,9.702,
2007-10,11.022,
2008-01,12.401,
2008-04,10.633,
2008-07,11.476,
2008-10,11.361,
2009-01,10.930,
2009-04,11.582,
2009-07,11.104,
2009-10,11.045,
2010-01,10.707,
2010-04,10.146,
2010-07,10.341,
2010-10,9.811,
2011-01,9.924,
2011-04,9.588,
2011-07,9.434,
2011-10,9.450,
2012-01,9.467,
2012-04,9.341,
2012-07,9.081,
2012-10,8.860,
2013-01,8.775,
2013-04,8.856,
2013-07,9.898,
2013-10,9.788,
2014-01,9.943,
2014-04,9.795,
2014-07,9.140,
