"",BBFN1.M.DE.N.1.A.HR.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.HR.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Croatia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:14:24,
1994-07,0.133,
1994-08,0.145,
1994-09,0.159,
1994-10,0.156,
1994-11,0.167,
1994-12,0.169,
1995-01,0.170,
1995-02,0.164,
1995-03,0.168,
1995-04,0.183,
1995-05,0.184,
1995-06,0.196,
1995-07,0.195,
1995-08,0.192,
1995-09,0.193,
1995-10,0.187,
1995-11,0.201,
1995-12,0.205,
1996-01,0.194,
1996-02,0.183,
1996-03,0.198,
1996-04,0.205,
1996-05,0.203,
1996-06,0.224,
1996-07,0.223,
1996-08,0.220,
1996-09,0.225,
1996-10,0.226,
1996-11,0.232,
1996-12,0.232,
1997-01,0.221,
1997-02,0.223,
1997-03,0.228,
1997-04,0.229,
1997-05,0.235,
1997-06,0.255,
1997-07,0.247,
1997-08,0.242,
1997-09,0.241,
1997-10,0.238,
1997-11,0.245,
1997-12,0.248,
1998-01,0.235,
1998-02,0.244,
1998-03,0.253,
1998-04,0.262,
1998-05,0.263,
1998-06,0.263,
1998-07,0.264,
1998-08,0.245,
1998-09,0.236,
1998-10,0.229,
1998-11,0.232,
1998-12,0.223,
1999-01,0.210,
1999-02,0.212,
1999-03,0.220,
1999-04,0.227,
1999-05,0.216,
1999-06,0.219,
1999-07,0.214,
1999-08,0.209,
1999-09,0.210,
1999-10,0.226,
1999-11,0.216,
1999-12,0.203,
2000-01,0.200,
2000-02,0.196,
2000-03,0.210,
2000-04,0.212,
2000-05,0.214,
2000-06,0.244,
2000-07,0.236,
2000-08,0.229,
2000-09,0.235,
2000-10,0.225,
2000-11,0.225,
2000-12,0.217,
2001-01,0.219,
2001-02,0.235,
2001-03,0.241,
2001-04,0.228,
2001-05,0.218,
2001-06,0.233,
2001-07,0.229,
2001-08,0.234,
2001-09,0.233,
2001-10,0.229,
2001-11,0.232,
2001-12,0.222,
2002-01,0.216,
2002-02,0.228,
2002-03,0.208,
2002-04,0.214,
2002-05,0.224,
2002-06,0.223,
2002-07,0.231,
2002-08,0.218,
2002-09,0.231,
2002-10,0.244,
2002-11,0.251,
2002-12,0.250,
2003-01,0.233,
2003-02,0.242,
2003-03,0.238,
2003-04,0.242,
2003-05,0.237,
2003-06,0.247,
2003-07,0.239,
2003-08,0.233,
2003-09,0.233,
2003-10,0.238,
2003-11,0.248,
2003-12,0.250,
2004-01,0.250,
2004-02,0.250,
2004-03,0.269,
2004-04,0.274,
2004-05,0.268,
2004-06,0.271,
2004-07,0.261,
2004-08,0.325,
2004-09,0.268,
2004-10,0.275,
2004-11,0.282,
2004-12,0.249,
2005-01,0.230,
2005-02,0.243,
2005-03,0.263,
2005-04,0.285,
2005-05,0.277,
2005-06,0.281,
2005-07,0.269,
2005-08,0.261,
2005-09,0.271,
2005-10,0.271,
2005-11,0.279,
2005-12,0.262,
2006-01,0.260,
2006-02,0.272,
2006-03,0.284,
2006-04,0.310,
2006-05,0.319,
2006-06,0.319,
2006-07,0.284,
2006-08,0.284,
2006-09,0.295,
2006-10,0.304,
2006-11,0.316,
2006-12,0.311,
2007-01,0.304,
2007-02,0.323,
2007-03,0.407,
2007-04,0.340,
2007-05,0.356,
2007-06,0.353,
2007-07,0.356,
2007-08,0.340,
2007-09,0.355,
2007-10,0.382,
2007-11,0.370,
2007-12,0.323,
2008-01,0.332,
2008-02,0.350,
2008-03,0.367,
2008-04,0.383,
2008-05,0.359,
2008-06,0.365,
2008-07,0.362,
2008-08,0.356,
2008-09,0.379,
2008-10,0.359,
2008-11,0.396,
2008-12,0.372,
2009-01,0.347,
2009-02,0.362,
2009-03,0.373,
2009-04,0.375,
2009-05,0.365,
2009-06,0.368,
2009-07,0.370,
2009-08,0.369,
2009-09,0.369,
2009-10,0.362,
2009-11,0.369,
2009-12,0.338,
2010-01,0.313,
2010-02,0.325,
2010-03,0.341,
2010-04,0.339,
2010-05,0.340,
2010-06,0.349,
2010-07,0.357,
2010-08,0.362,
2010-09,0.358,
2010-10,0.360,
2010-11,0.357,
2010-12,0.337,
2011-01,0.332,
2011-02,0.352,
2011-03,0.358,
2011-04,0.362,
2011-05,0.357,
2011-06,0.368,
2011-07,0.365,
2011-08,0.361,
2011-09,0.368,
2011-10,0.372,
2011-11,0.378,
2011-12,0.342,
2012-01,0.337,
2012-02,0.354,
2012-03,0.367,
2012-04,0.366,
2012-05,0.366,
2012-06,0.347,
2012-07,0.343,
2012-08,0.344,
2012-09,0.346,
2012-10,0.343,
2012-11,0.340,
2012-12,0.321,
2013-01,0.306,
2013-02,0.315,
2013-03,0.332,
2013-04,0.335,
2013-05,0.336,
2013-06,0.320,
2013-07,0.309,
2013-08,0.330,
2013-09,0.331,
2013-10,0.355,
2013-11,0.355,
2013-12,0.328,
2014-01,0.316,
2014-02,0.321,
2014-03,0.341,
2014-04,0.342,
2014-05,0.333,
2014-06,0.335,
2014-07,0.344,
2014-08,0.337,
2014-09,0.330,
2014-10,0.322,
2014-11,0.317,
2014-12,0.298,
