"",BBSF2.M.1.T.00000.DER01.I.F.SVB.DE.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.DER01.I.F.SVB.DE.00000.F33200.Z01.M1_FLAGS
"",Funds total / Derivative funds / Long-term debt securities / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:26,
2009-09,190,
2009-10,211,
2009-11,212,
2009-12,146,
2010-01,147,
2010-02,157,
2010-03,157,
2010-04,157,
2010-05,161,
2010-06,173,
2010-07,184,
2010-08,184,
2010-09,154,
2010-10,164,
2010-11,164,
2010-12,153,
2011-01,153,
2011-02,151,
2011-03,150,
2011-04,150,
2011-05,150,
2011-06,169,
2011-07,184,
2011-08,184,
2011-09,155,
2011-10,146,
2011-11,146,
2011-12,167,
2012-01,189,
2012-02,212,
2012-03,35,
2012-04,35,
2012-05,35,
2012-06,35,
2012-07,36,
2012-08,36,
2012-09,45,
2012-10,44,
2012-11,44,
2012-12,44,
2013-01,2,
2013-02,3,
2013-03,4,
2013-04,5,
2013-05,5,
2013-06,5,
2013-07,5,
2013-08,5,
2013-09,5,
2013-10,4,
2013-11,4,
2013-12,4,
2014-01,4,
2014-02,4,
2014-03,4,
2014-04,3,
2014-05,3,
2014-06,3,
2014-07,3,
2014-08,3,
2014-09,3,
2014-10,3,
2014-11,3,
