"",BBDE1.M.DE.Y.AEN1.A2P310000.F.V.I10.A,BBDE1.M.DE.Y.AEN1.A2P310000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, domestic / At current prices, flows / Germany / Intermediate goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:19:56,
2010-01,88.2,
2010-02,90.7,
2010-03,95.9,
2010-04,98.1,
2010-05,99.3,
2010-06,100.2,
2010-07,103.5,
2010-08,102.1,
2010-09,103.8,
2010-10,104.7,
2010-11,104.6,
2010-12,104.5,
2011-01,112.5,
2011-02,111.4,
2011-03,111.8,
2011-04,112.7,
2011-05,110.1,
2011-06,108.7,
2011-07,113.8,
2011-08,112.3,
2011-09,108.0,
2011-10,106.9,
2011-11,105.6,
2011-12,104.1,
2012-01,107.0,
2012-02,104.4,
2012-03,106.4,
2012-04,107.3,
2012-05,106.3,
2012-06,102.9,
2012-07,102.6,
2012-08,102.7,
2012-09,102.6,
2012-10,102.1,
2012-11,101.9,
2012-12,101.6,
2013-01,102.7,
2013-02,102.3,
2013-03,102.6,
2013-04,101.0,
2013-05,101.1,
2013-06,101.6,
2013-07,102.1,
2013-08,102.1,
2013-09,102.7,
2013-10,103.2,
2013-11,103.5,
2013-12,103.8,
2014-01,103.9,
2014-02,104.1,
2014-03,102.3,
2014-04,102.1,
2014-05,100.1,
2014-06,100.9,
2014-07,101.8,
2014-08,100.8,
2014-09,98.8,
2014-10,99.9,
2014-11,99.0,
2014-12,102.6,Provisional value
