"",BBK01.OEAF36P,BBK01.OEAF36P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:20,
2002-01,1.368,
2002-04,1.356,
2002-07,1.375,
2002-10,1.373,
2003-01,1.391,
2003-04,1.380,
2003-07,0.993,
2003-10,0.976,
2004-01,0.909,
2004-04,0.873,
2004-07,0.883,
2004-10,0.897,
2005-01,0.916,
2005-04,0.917,
2005-07,0.917,
2005-10,0.914,
2006-01,0.919,
2006-04,0.932,
2006-07,0.946,
2006-10,0.948,
2007-01,0.953,
2007-04,0.963,
2007-07,0.983,
2007-10,0.986,
2008-01,1.051,
2008-04,1.067,
2008-07,1.067,
2008-10,1.060,
2009-01,1.083,
2009-04,1.109,
2009-07,1.124,
2009-10,1.122,
2010-01,1.133,
2010-04,1.582,
2010-07,1.809,
2010-10,1.774,
2011-01,1.763,
2011-04,1.577,
2011-07,1.558,
2011-10,1.554,
2012-01,1.550,
2012-04,1.555,
2012-07,1.533,
2012-10,1.458,
2013-01,1.443,
2013-04,1.449,
2013-07,1.455,
2013-10,1.449,
2014-01,1.459,
2014-04,1.466,
2014-07,1.466,
