"",BBK01.OELO02H,BBK01.OELO02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:55,
2002-01,6.994,
2002-04,5.038,
2002-07,4.694,
2002-10,5.267,
2003-01,5.814,
2003-04,4.248,
2003-07,4.058,
2003-10,5.002,
2004-01,5.181,
2004-04,3.918,
2004-07,4.050,
2004-10,5.454,
2005-01,5.051,
2005-04,3.900,
2005-07,3.586,
2005-10,4.513,
2006-01,4.581,
2006-04,3.959,
2006-07,3.852,
2006-10,4.864,
2007-01,5.026,
2007-04,4.279,
2007-07,4.104,
2007-10,4.662,
2008-01,4.937,
2008-04,3.840,
2008-07,3.830,
2008-10,5.161,
2009-01,6.205,
2009-04,5.458,
2009-07,5.602,
2009-10,6.169,
2010-01,5.628,
2010-04,4.197,
2010-07,3.687,
2010-10,4.243,
2011-01,4.227,
2011-04,4.134,
2011-07,3.763,
2011-10,3.989,
2012-01,3.880,
2012-04,3.560,
2012-07,3.539,
2012-10,4.007,
2013-01,4.199,
2013-04,3.432,
2013-07,3.334,
2013-10,4.088,
2014-01,4.082,
2014-04,3.558,
2014-07,3.313,
