"",BBK01.OEAD38G,BBK01.OEAD38G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:41,
2002-01,3.447,
2002-04,3.433,
2002-07,3.374,
2002-10,3.309,
2003-01,3.331,
2003-04,3.232,
2003-07,3.178,
2003-10,3.180,
2004-01,3.026,
2004-04,2.930,
2004-07,2.911,
2004-10,2.840,
2005-01,2.730,
2005-04,2.712,
2005-07,2.681,
2005-10,2.648,
2006-01,2.576,
2006-04,2.629,
2006-07,2.889,
2006-10,2.895,
2007-01,2.933,
2007-04,2.985,
2007-07,2.816,
2007-10,2.891,
2008-01,2.863,
2008-04,2.888,
2008-07,3.081,
2008-10,2.957,
2009-01,3.032,
2009-04,3.082,
2009-07,3.074,
2009-10,3.007,
2010-01,2.958,
2010-04,2.930,
2010-07,2.885,
2010-10,2.862,
2011-01,2.862,
2011-04,2.852,
2011-07,2.776,
2011-10,2.789,
2012-01,2.775,
2012-04,2.700,
2012-07,2.684,
2012-10,2.684,
2013-01,2.645,
2013-04,2.659,
2013-07,2.660,
2013-10,2.635,
2014-01,2.600,
2014-04,2.553,
2014-07,2.535,
