"",BBK01.OEYB09O,BBK01.OEYB09O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:41,
2002-01,11.144,
2002-04,10.955,
2002-07,11.788,
2002-10,11.754,
2003-01,11.639,
2003-04,11.823,
2003-07,11.802,
2003-10,14.265,
2004-01,14.277,
2004-04,14.168,
2004-07,14.209,
2004-10,14.496,
2005-01,14.440,
2005-04,15.105,
2005-07,15.151,
2005-10,14.861,
2006-01,15.104,
2006-04,14.913,
2006-07,14.976,
2006-10,14.881,
2007-01,14.386,
2007-04,14.803,
2007-07,15.622,
2007-10,14.920,
2008-01,14.833,
2008-04,14.971,
2008-07,12.388,
2008-10,11.362,
2009-01,10.634,
2009-04,10.474,
2009-07,10.479,
2009-10,11.996,
2010-01,11.908,
2010-04,12.597,
2010-07,12.323,
2010-10,12.140,
2011-01,11.709,
2011-04,11.628,
2011-07,11.786,
2011-10,11.535,
2012-01,12.070,
2012-04,12.235,
2012-07,11.646,
2012-10,11.371,
2013-01,11.234,
2013-04,10.807,
2013-07,15.315,
2013-10,15.785,
2014-01,16.357,
2014-04,16.049,
2014-07,15.583,
