"",BBK01.OEAO03N,BBK01.OEAO03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:14,
2002-01,21.526,
2002-04,19.503,
2002-07,16.193,
2002-10,16.828,
2003-01,18.176,
2003-04,16.473,
2003-07,17.142,
2003-10,17.318,
2004-01,19.810,
2004-04,15.999,
2004-07,15.732,
2004-10,15.333,
2005-01,15.280,
2005-04,13.726,
2005-07,11.811,
2005-10,13.071,
2006-01,14.594,
2006-04,12.437,
2006-07,12.548,
2006-10,14.425,
2007-01,17.023,
2007-04,14.172,
2007-07,14.133,
2007-10,13.838,
2008-01,15.081,
2008-04,13.474,
2008-07,14.034,
2008-10,15.655,
2009-01,12.820,
2009-04,10.765,
2009-07,10.376,
2009-10,12.451,
2010-01,15.800,
2010-04,11.907,
2010-07,13.162,
2010-10,13.414,
2011-01,14.752,
2011-04,13.890,
2011-07,13.905,
2011-10,13.716,
2012-01,14.696,
2012-04,12.388,
2012-07,12.455,
2012-10,13.166,
2013-01,14.606,
2013-04,12.082,
2013-07,11.335,
2013-10,11.019,
2014-01,11.309,
2014-04,10.496,
2014-07,10.041,
