"",BBK01.EU8207,BBK01.EU8207_FLAGS
"",External position of the Bundesbank up to 1998 / Reserve position in the IMF and SDR,
unit,DM (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:56,
1948-01,-,Nothing exists
1948-02,-,Nothing exists
1948-03,-,Nothing exists
1948-04,-,Nothing exists
1948-05,-,Nothing exists
1948-06,-,Nothing exists
1948-07,-,Nothing exists
1948-08,-,Nothing exists
1948-09,-,Nothing exists
1948-10,-,Nothing exists
1948-11,-,Nothing exists
1948-12,-,Nothing exists
1949-01,-,Nothing exists
1949-02,-,Nothing exists
1949-03,-,Nothing exists
1949-04,-,Nothing exists
1949-05,-,Nothing exists
1949-06,-,Nothing exists
1949-07,-,Nothing exists
1949-08,-,Nothing exists
1949-09,-,Nothing exists
1949-10,-,Nothing exists
1949-11,-,Nothing exists
1949-12,-,Nothing exists
1950-01,-,Nothing exists
1950-02,-,Nothing exists
1950-03,-,Nothing exists
1950-04,-,Nothing exists
1950-05,-,Nothing exists
1950-06,-,Nothing exists
1950-07,-,Nothing exists
1950-08,-,Nothing exists
1950-09,-,Nothing exists
1950-10,-,Nothing exists
1950-11,-,Nothing exists
1950-12,-,Nothing exists
1951-01,-,Nothing exists
1951-02,-,Nothing exists
1951-03,-,Nothing exists
1951-04,-,Nothing exists
1951-05,-,Nothing exists
1951-06,-,Nothing exists
1951-07,-,Nothing exists
1951-08,-,Nothing exists
1951-09,-,Nothing exists
1951-10,-,Nothing exists
1951-11,-,Nothing exists
1951-12,-,Nothing exists
1952-01,-,Nothing exists
1952-02,-,Nothing exists
1952-03,-,Nothing exists
1952-04,-,Nothing exists
1952-05,-,Nothing exists
1952-06,-,Nothing exists
1952-07,-,Nothing exists
1952-08,71.070,
1952-09,71.070,
1952-10,71.070,
1952-11,71.070,
1952-12,71.070,
1953-01,71.070,
1953-02,71.070,
1953-03,71.070,
1953-04,71.070,
1953-05,71.070,
1953-06,71.070,
1953-07,71.070,
1953-08,80.273,
1953-09,80.273,
1953-10,80.273,
1953-11,80.273,
1953-12,80.273,
1954-01,80.273,
1954-02,80.273,
1954-03,80.273,
1954-04,80.273,
1954-05,169.749,
1954-06,169.749,
1954-07,169.749,
1954-08,169.749,
1954-09,169.749,
1954-10,176.907,
1954-11,176.907,
1954-12,176.907,
1955-01,176.907,
1955-02,176.907,
1955-03,176.907,
1955-04,176.907,
1955-05,176.907,
1955-06,176.907,
1955-07,176.907,
1955-08,176.907,
1955-09,176.907,
1955-10,176.907,
1955-11,176.907,
1955-12,176.907,
1956-01,176.907,
1956-02,176.907,
1956-03,176.907,
1956-04,176.907,
1956-05,176.907,
1956-06,176.907,
1956-07,176.907,
1956-08,176.907,
1956-09,176.907,
1956-10,176.907,
1956-11,176.907,
1956-12,176.907,
1957-01,176.907,
1957-02,176.907,
1957-03,176.907,
1957-04,176.907,
1957-05,176.907,
1957-06,176.907,
1957-07,176.907,
1957-08,176.907,
1957-09,176.907,
1957-10,176.907,
1957-11,176.907,
1957-12,176.907,
1958-01,191.734,
1958-02,191.734,
1958-03,223.946,
1958-04,223.946,
1958-05,223.946,
1958-06,288.369,
1958-07,288.369,
1958-08,315.467,
1958-09,315.467,
1958-10,315.467,
1958-11,315.467,
1958-12,315.467,
1959-01,315.467,
1959-02,315.467,
1959-03,315.467,
1959-04,315.467,
1959-05,315.467,
1959-06,315.467,
1959-07,315.467,
1959-08,315.467,
1959-09,561.398,
1959-10,561.398,
1959-11,561.398,
1959-12,576.226,
1960-01,576.226,
1960-02,583.895,
1960-03,591.565,
