"",BBFB1.Q.N.DE.BE.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.BE.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Belgium,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:59,
1991-01,1397.631,
1991-04,-664.483,
1991-07,740.673,
1991-10,-383.478,
1992-01,198.317,
1992-04,-357.042,
1992-07,-669.277,
1992-10,-1894.402,
1993-01,-283.802,
1993-04,-300.711,
1993-07,-1268.900,
1993-10,-3009.405,
1994-01,-1648.048,
1994-04,-652.894,
1994-07,-1600.696,
1994-10,-2572.452,
1995-01,2352.330,
1995-04,-2808.900,
1995-07,-2967.092,
1995-10,-4067.814,
1996-01,-2192.172,
1996-04,-953.738,
1996-07,-4603.798,
1996-10,-750.510,
1997-01,-4470.010,
1997-04,-6475.568,
1997-07,-10757.043,
1997-10,-11526.201,
1998-01,-11202.219,
1998-04,-9877.508,
1998-07,-9137.360,
1998-10,-6786.175,
1999-01,-6231.904,
1999-04,-14365.420,
1999-07,-15532.698,
1999-10,-11970.716,
2000-01,-27349.397,
2000-04,-17059.561,
2000-07,-28434.342,
2000-10,-38978.054,
2001-01,-31587.431,
2001-04,-28585.673,
2001-07,-30628.310,
2001-10,-31850.275,
2002-01,-31265.265,
2002-04,-32818.594,
2002-07,-36725.853,
2002-10,-46698.020,
2003-01,-51169.361,
2003-04,-55437.132,
2003-07,-58983.879,
2003-10,-56382.624,
2004-01,-60287.948,
2004-04,-38923.287,
2004-07,-54025.078,
2004-10,-67380.022,
2005-01,-47863.617,
2005-04,-54461.342,
2005-07,-55120.135,
2005-10,-48763.048,
2006-01,-51436.306,
2006-04,-55615.885,
2006-07,-63146.913,
2006-10,-46311.908,
2007-01,-62651.071,
2007-04,-36576.005,
2007-07,-76356.054,
2007-10,-75040.515,
2008-01,-77443.305,
2008-04,-71965.317,
2008-07,-85319.573,
2008-10,-81310.524,
2009-01,-79024.746,
2009-04,-69238.777,
2009-07,-97129.066,
2009-10,-71301.145,
2010-01,-81089.710,
2010-04,-84472.507,
2010-07,-86441.039,
2010-10,-84275.999,
2011-01,-83295.404,
2011-04,-98583.858,
2011-07,-126978.533,
2011-10,-130215.004,
2012-01,-147210.622,
2012-04,-118397.546,
2012-07,-128261.574,
2012-10,-92513.486,
2013-01,-120265.933,
2013-04,-125410.831,
2013-07,-127627.034,
2013-10,-125346.704,
2014-01,-121257.263,Provisional value
2014-04,-130114.594,Provisional value
2014-07,-133747.418,Provisional value
2014-10,-137129.249,Provisional value
