"",BBK01.OEAE34I,BBK01.OEAE34I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:31,
2002-01,1.569,
2002-04,1.595,
2002-07,1.579,
2002-10,1.790,
2003-01,1.764,
2003-04,1.736,
2003-07,1.679,
2003-10,1.669,
2004-01,1.667,
2004-04,1.675,
2004-07,1.769,
2004-10,1.753,
2005-01,1.812,
2005-04,1.840,
2005-07,1.685,
2005-10,1.660,
2006-01,1.880,
2006-04,1.857,
2006-07,1.899,
2006-10,1.827,
2007-01,1.802,
2007-04,1.802,
2007-07,1.764,
2007-10,1.734,
2008-01,1.734,
2008-04,1.730,
2008-07,1.743,
2008-10,1.744,
2009-01,1.803,
2009-04,1.979,
2009-07,2.324,
2009-10,2.202,
2010-01,2.272,
2010-04,2.222,
2010-07,2.184,
2010-10,2.140,
2011-01,2.250,
2011-04,2.232,
2011-07,2.252,
2011-10,2.256,
2012-01,2.292,
2012-04,3.402,
2012-07,3.441,
2012-10,3.488,
2013-01,3.573,
2013-04,3.576,
2013-07,3.607,
2013-10,3.680,
2014-01,3.727,
2014-04,3.747,
2014-07,3.652,
