"",BBK01.OEAD04S,BBK01.OEAD04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:49,
2002-01,0.071,
2002-04,0.072,
2002-07,0.064,
2002-10,0.070,
2003-01,0.055,
2003-04,0.052,
2003-07,0.051,
2003-10,0.051,
2004-01,0.050,
2004-04,0.049,
2004-07,0.048,
2004-10,0.042,
2005-01,0.042,
2005-04,0.041,
2005-07,0.041,
2005-10,0.040,
2006-01,0.045,
2006-04,0.043,
2006-07,0.041,
2006-10,0.036,
2007-01,0.037,
2007-04,0.035,
2007-07,0.037,
2007-10,0.040,
2008-01,0.036,
2008-04,0.036,
2008-07,0.033,
2008-10,0.027,
2009-01,0.024,
2009-04,0.026,
2009-07,0.024,
2009-10,0.024,
2010-01,0.026,
2010-04,0.021,
2010-07,0.019,
2010-10,0.019,
2011-01,0.020,
2011-04,0.019,
2011-07,0.018,
2011-10,0.017,
2012-01,0.019,
2012-04,0.019,
2012-07,0.018,
2012-10,0.016,
2013-01,0.017,
2013-04,0.019,
2013-07,0.020,
2013-10,0.017,
2014-01,0.020,
2014-04,0.018,
2014-07,0.018,
