"",BBDA1.M.DE.Y.IM.S.GP09IS02.W1.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.GP09IS02.W1.A.V.ABA.A_FLAGS
"","German foreign trade: imports / At current prices, flows / Intermediate products / Rest of the World / Calendar and seasonally adjusted",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:36,
2008-01,20.81,
2008-02,20.47,
2008-03,20.70,
2008-04,20.28,
2008-05,21.00,
2008-06,20.74,
2008-07,21.11,
2008-08,21.28,
2008-09,20.87,
2008-10,20.70,
2008-11,19.39,
2008-12,17.71,
2009-01,16.87,
2009-02,15.25,
2009-03,14.56,
2009-04,14.69,
2009-05,13.95,
2009-06,14.22,
2009-07,14.61,
2009-08,15.22,
2009-09,16.02,
2009-10,16.42,
2009-11,16.54,
2009-12,17.34,
2010-01,17.40,
2010-02,17.52,
2010-03,18.70,
2010-04,19.10,
2010-05,21.66,
2010-06,21.17,
2010-07,21.10,
2010-08,21.20,
2010-09,21.35,
2010-10,21.70,
2010-11,22.60,
2010-12,22.75,
2011-01,22.78,
2011-02,22.67,
2011-03,23.10,
2011-04,23.62,
2011-05,23.24,
2011-06,24.31,
2011-07,23.77,
2011-08,23.86,
2011-09,23.01,
2011-10,23.01,
2011-11,22.95,
2011-12,22.37,
2012-01,22.16,
2012-02,22.85,
2012-03,22.62,
2012-04,22.07,
2012-05,23.16,
2012-06,22.48,
2012-07,22.66,
2012-08,21.99,
2012-09,22.26,
2012-10,22.09,
2012-11,21.37,
2012-12,21.56,
2013-01,22.57,
2013-02,21.48,
2013-03,21.86,
2013-04,21.78,
2013-05,22.21,
2013-06,21.62,
2013-07,21.73,
2013-08,21.47,
2013-09,21.75,
2013-10,21.77,
2013-11,22.36,
2013-12,21.75,
2014-01,23.82,
2014-02,23.65,
2014-03,22.69,
2014-04,23.50,
2014-05,22.74,
2014-06,23.36,
2014-07,23.16,
2014-08,23.80,
2014-09,23.86,
2014-10,23.74,
2014-11,24.65,
2014-12,24.28,
