"",BBK01.OELI05U,BBK01.OELI05U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:55,
2002-01,0.050,
2002-04,0.055,
2002-07,0.056,
2002-10,0.060,
2003-01,0.059,
2003-04,0.064,
2003-07,0.053,
2003-10,0.057,
2004-01,0.060,
2004-04,0.061,
2004-07,0.067,
2004-10,0.087,
2005-01,0.083,
2005-04,0.085,
2005-07,0.077,
2005-10,0.090,
2006-01,0.094,
2006-04,0.096,
2006-07,0.096,
2006-10,0.090,
2007-01,0.104,
2007-04,0.103,
2007-07,0.102,
2007-10,0.105,
2008-01,0.097,
2008-04,0.099,
2008-07,0.231,
2008-10,0.071,
2009-01,0.081,
2009-04,0.080,
2009-07,0.091,
2009-10,0.103,
2010-01,0.098,
2010-04,0.106,
2010-07,0.101,
2010-10,0.104,
2011-01,0.106,
2011-04,0.097,
2011-07,0.100,
2011-10,0.101,
2012-01,0.099,
2012-04,0.101,
2012-07,0.086,
2012-10,0.078,
2013-01,0.075,
2013-04,0.070,
2013-07,0.071,
2013-10,0.071,
2014-01,0.075,
2014-04,0.087,
2014-07,0.084,
