"",BBK01.OEAE33J,BBK01.OEAE33J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:47,
2002-01,0.603,
2002-04,0.632,
2002-07,0.659,
2002-10,0.661,
2003-01,0.677,
2003-04,0.676,
2003-07,0.669,
2003-10,0.658,
2004-01,0.646,
2004-04,0.651,
2004-07,0.650,
2004-10,0.691,
2005-01,0.689,
2005-04,0.685,
2005-07,0.692,
2005-10,0.689,
2006-01,0.686,
2006-04,0.686,
2006-07,0.675,
2006-10,0.672,
2007-01,0.672,
2007-04,0.672,
2007-07,0.672,
2007-10,0.633,
2008-01,0.622,
2008-04,0.602,
2008-07,0.567,
2008-10,0.547,
2009-01,0.535,
2009-04,0.524,
2009-07,0.504,
2009-10,0.640,
2010-01,0.220,
2010-04,0.492,
2010-07,0.473,
2010-10,0.489,
2011-01,0.468,
2011-04,0.461,
2011-07,0.503,
2011-10,0.489,
2012-01,0.485,
2012-04,0.510,
2012-07,0.522,
2012-10,0.518,
2013-01,0.467,
2013-04,0.486,
2013-07,0.480,
2013-10,0.479,
2014-01,0.497,
2014-04,0.499,
2014-07,0.482,
