"",BBFB1.Q.N.DE.CA.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.CA.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Canada,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:31,
1991-01,293.607,
1991-04,-380.687,
1991-07,-18.035,
1991-10,38.614,
1992-01,346.457,
1992-04,-137.689,
1992-07,-31.140,
1992-10,-79.421,
1993-01,277.556,
1993-04,-121.108,
1993-07,101.659,
1993-10,166.565,
1994-01,-371.346,
1994-04,580.096,
1994-07,-219.594,
1994-10,-111.042,
1995-01,-377.817,
1995-04,185.540,
1995-07,-163.313,
1995-10,-49.748,
1996-01,-109.032,
1996-04,-130.146,
1996-07,2407.241,
1996-10,15.343,
1997-01,864.917,
1997-04,673.627,
1997-07,1418.869,
1997-10,-453.462,
1998-01,218.534,
1998-04,2544.110,
1998-07,398.171,
1998-10,-2422.031,
1999-01,92.985,
1999-04,-99.669,
1999-07,147.645,
1999-10,-147.035,
2000-01,455.099,
2000-04,-309.748,
2000-07,716.889,
2000-10,-66.439,
2001-01,902.403,
2001-04,-436.160,
2001-07,-131.723,
2001-10,142.540,
2002-01,289.694,
2002-04,10.315,
2002-07,398.506,
2002-10,-342.825,
2003-01,-102.464,
2003-04,4.430,
2003-07,-204.690,
2003-10,50.303,
2004-01,31.040,
2004-04,110.137,
2004-07,-225.781,
2004-10,653.989,
2005-01,-282.410,
2005-04,852.227,
2005-07,-102.562,
2005-10,1084.461,
2006-01,1340.277,
2006-04,-693.641,
2006-07,-1138.833,
2006-10,610.384,
2007-01,286.386,
2007-04,1078.452,
2007-07,1475.445,
2007-10,-1127.089,
2008-01,94.816,
2008-04,1023.879,
2008-07,-974.587,
2008-10,-246.821,
2009-01,-90.397,
2009-04,100.123,
2009-07,-854.589,
2009-10,259.903,
2010-01,401.045,
2010-04,25.160,
2010-07,-597.692,
2010-10,1477.181,
2011-01,-579.732,
2011-04,288.742,
2011-07,367.236,
2011-10,-518.395,
2012-01,326.934,
2012-04,-62.090,
2012-07,91.012,
2012-10,-62.559,
2013-01,-647.114,
2013-04,406.687,
2013-07,-213.144,
2013-10,154.580,
2014-01,-280.938,Provisional value
2014-04,1058.399,Provisional value
2014-07,-304.676,Provisional value
2014-10,711.821,Provisional value
