"",BBK01.CEBS03,BBK01.CEBS03_FLAGS
"",Savings certificates debtor: All sectors                    creditor: Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:07,
1991-01,14.1,
1991-04,14.1,
1991-07,14.5,
1991-10,14.6,
1992-01,14.6,
1992-04,14.8,
1992-07,15.7,
1992-10,16.5,
1993-01,17.7,
1993-04,18.8,
1993-07,21.6,
1993-10,24.3,
1994-01,27.7,
1994-04,29.1,
1994-07,30.4,
1994-10,31.7,
1995-01,32.7,
1995-04,34.5,
1995-07,35.9,
1995-10,37.8,
1996-01,39.5,
1996-04,40.3,
1996-07,42.1,
1996-10,44.1,
1997-01,45.7,
1997-04,47.0,
1997-07,48.6,
1997-10,50.3,
1998-01,52.2,
1998-04,53.1,
1998-07,55.7,
1998-10,57.6,
1999-01,60.5,
1999-04,63.7,
1999-07,67.1,
1999-10,69.0,
2000-01,71.8,
2000-04,73.4,
2000-07,74.1,
2000-10,74.1,
2001-01,75.3,
2001-04,75.5,
2001-07,75.3,
2001-10,72.3,
2002-01,71.5,
2002-04,71.4,
2002-07,70.9,
2002-10,70.6,
2003-01,69.7,
2003-04,69.5,
2003-07,69.2,
2003-10,69.6,
2004-01,69.3,
2004-04,68.2,
2004-07,68.7,
2004-10,69.0,
2005-01,70.3,
2005-04,74.1,
2005-07,73.8,
2005-10,72.6,
2006-01,71.6,
2006-04,70.3,
2006-07,69.6,
2006-10,68.1,
2007-01,66.8,
2007-04,65.7,
2007-07,65.2,
2007-10,63.6,
2008-01,61.8,
2008-04,60.6,
2008-07,58.5,
2008-10,56.4,
2009-01,54.1,
2009-04,52.1,
2009-07,50.4,
2009-10,48.3,
2010-01,47.1,
2010-04,46.4,
2010-07,46.9,
2010-10,46.5,
2011-01,44.7,
2011-04,43.7,
2011-07,43.2,
2011-10,42.0,
2012-01,40.7,
2012-04,39.0,
2012-07,37.9,
2012-10,36.6,
2013-01,35.9,
2013-04,34.2,
2013-07,33.2,
2013-10,31.6,
2014-01,29.9,
