"",BBK01.OEXB20V,BBK01.OEXB20V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:37,
2002-01,2.443,
2002-04,2.552,
2002-07,2.601,
2002-10,2.686,
2003-01,2.762,
2003-04,2.692,
2003-07,2.746,
2003-10,2.773,
2004-01,2.689,
2004-04,2.604,
2004-07,2.654,
2004-10,2.588,
2005-01,2.724,
2005-04,2.704,
2005-07,2.816,
2005-10,2.831,
2006-01,2.866,
2006-04,2.911,
2006-07,2.991,
2006-10,3.136,
2007-01,3.162,
2007-04,3.188,
2007-07,3.219,
2007-10,3.346,
2008-01,3.168,
2008-04,3.204,
2008-07,3.218,
2008-10,3.331,
2009-01,3.386,
2009-04,3.390,
2009-07,3.366,
2009-10,3.386,
2010-01,3.394,
2010-04,3.384,
2010-07,3.388,
2010-10,3.377,
2011-01,3.377,
2011-04,3.389,
2011-07,3.406,
2011-10,3.415,
2012-01,3.415,
2012-04,3.421,
2012-07,3.358,
2012-10,3.337,
2013-01,3.367,
2013-04,3.381,
2013-07,3.400,
2013-10,3.408,
2014-01,3.424,
2014-04,3.695,
2014-07,3.704,
