"",BBFB1.Q.N.DE.GB.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.GB.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / United Kingdom,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:15,
1991-01,45.458,
1991-04,-34.537,
1991-07,-12.694,
1991-10,-18.847,
1992-01,7.581,
1992-04,-193.446,
1992-07,-368.109,
1992-10,-64.225,
1993-01,143.249,
1993-04,-314.392,
1993-07,-161.437,
1993-10,-170.250,
1994-01,13.513,
1994-04,-361.582,
1994-07,-394.125,
1994-10,-400.379,
1995-01,-349.656,
1995-04,-393.816,
1995-07,-398.608,
1995-10,-238.906,
1996-01,-154.526,
1996-04,-382.457,
1996-07,-402.932,
1996-10,-266.194,
1997-01,-348.488,
1997-04,-461.694,
1997-07,-450.165,
1997-10,-462.681,
1998-01,-150.638,
1998-04,-529.050,
1998-07,-321.098,
1998-10,-475.625,
1999-01,-548.407,
1999-04,-688.511,
1999-07,-540.636,
1999-10,-1183.890,
2000-01,-671.630,
2000-04,-467.769,
2000-07,-720.593,
2000-10,-1007.080,
2001-01,-1193.489,
2001-04,-950.044,
2001-07,-1008.875,
2001-10,-545.403,
2002-01,-703.187,
2002-04,36.569,
2002-07,-279.929,
2002-10,458.768,
2003-01,-320.907,
2003-04,-333.467,
2003-07,-488.142,
2003-10,233.809,
2004-01,-81.062,
2004-04,277.288,
2004-07,3.035,
2004-10,430.110,
2005-01,200.038,
2005-04,-72.696,
2005-07,121.426,
2005-10,139.500,
2006-01,222.749,
2006-04,516.883,
2006-07,420.120,
2006-10,720.997,
2007-01,-76.718,
2007-04,399.727,
2007-07,-23.631,
2007-10,692.361,
2008-01,230.752,
2008-04,69.012,
2008-07,174.317,
2008-10,1016.543,
2009-01,802.974,
2009-04,204.651,
2009-07,712.333,
2009-10,832.994,
2010-01,587.740,
2010-04,613.540,
2010-07,611.056,
2010-10,601.198,
2011-01,224.555,
2011-04,-390.716,
2011-07,327.228,
2011-10,698.381,
2012-01,356.051,
2012-04,482.028,
2012-07,602.064,
2012-10,438.170,
2013-01,356.994,
2013-04,88.519,
2013-07,221.325,
2013-10,423.852,
2014-01,-69.663,Provisional value
2014-04,304.615,Provisional value
2014-07,192.367,Provisional value
