"",BBFB1.Q.N.DE.O1.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.O1.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Oceania and Polar Regions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:30,
1991-01,4.066,
1991-04,6.156,
1991-07,5.510,
1991-10,3.606,
1992-01,3.314,
1992-04,3.066,
1992-07,3.823,
1992-10,3.673,
1993-01,2.406,
1993-04,4.173,
1993-07,3.113,
1993-10,4.798,
1994-01,4.331,
1994-04,4.774,
1994-07,3.793,
1994-10,2.094,
1995-01,2.419,
1995-04,4.160,
1995-07,3.747,
1995-10,2.145,
1996-01,2.556,
1996-04,2.289,
1996-07,3.765,
1996-10,3.794,
1997-01,5.206,
1997-04,2.920,
1997-07,2.589,
1997-10,3.230,
1998-01,2.871,
1998-04,7.922,
1998-07,6.018,
1998-10,4.293,
1999-01,7.038,
1999-04,5.002,
1999-07,3.514,
1999-10,3.395,
2000-01,0.160,
2000-04,3.382,
2000-07,3.517,
2000-10,8.400,
2001-01,4.422,
2001-04,4.545,
2001-07,46.409,
2001-10,2.448,
2002-01,2.832,
2002-04,3.023,
2002-07,0.527,
2002-10,2.264,
2003-01,2.020,
2003-04,5.807,
2003-07,2.056,
2003-10,1.794,
2004-01,2.651,
2004-04,3.638,
2004-07,3.711,
2004-10,2.909,
2005-01,3.152,
2005-04,12.715,
2005-07,4.191,
2005-10,2.340,
2006-01,2.604,
2006-04,7.224,
2006-07,3.705,
2006-10,18.584,
2007-01,15.081,
2007-04,17.849,
2007-07,5.485,
2007-10,3.903,
2008-01,14.064,
2008-04,19.361,
2008-07,9.836,
2008-10,12.048,
2009-01,1.820,
2009-04,43.323,
2009-07,-2.891,
2009-10,-10.564,
2010-01,12.989,
2010-04,17.209,
2010-07,11.242,
2010-10,37.442,
2011-01,19.362,
2011-04,18.465,
2011-07,18.902,
2011-10,12.730,
2012-01,13.861,
2012-04,19.682,
2012-07,16.706,
2012-10,14.540,
2013-01,16.672,
2013-04,18.435,
2013-07,8.296,
2013-10,31.558,
2014-01,8.437,Provisional value
2014-04,27.764,Provisional value
2014-07,22.565,Provisional value
