"",BBK01.OELO05G,BBK01.OELO05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:41,
2002-01,0.046,
2002-04,0.055,
2002-07,0.070,
2002-10,0.968,
2003-01,0.053,
2003-04,0.040,
2003-07,0.043,
2003-10,0.842,
2004-01,0.036,
2004-04,0.028,
2004-07,0.044,
2004-10,0.764,
2005-01,0.027,
2005-04,0.035,
2005-07,0.056,
2005-10,0.731,
2006-01,0.029,
2006-04,0.035,
2006-07,0.047,
2006-10,0.743,
2007-01,0.032,
2007-04,0.044,
2007-07,0.052,
2007-10,0.789,
2008-01,0.062,
2008-04,0.048,
2008-07,0.058,
2008-10,0.766,
2009-01,0.028,
2009-04,0.056,
2009-07,0.074,
2009-10,0.632,
2010-01,0.030,
2010-04,0.037,
2010-07,0.039,
2010-10,0.596,
2011-01,0.027,
2011-04,0.032,
2011-07,0.040,
2011-10,0.592,
2012-01,0.023,
2012-04,0.039,
2012-07,0.039,
2012-10,0.522,
2013-01,0.023,
2013-04,0.033,
2013-07,0.029,
2013-10,0.425,
2014-01,0.021,
2014-04,0.030,
2014-07,0.025,
