"",BBK01.OEAH82G,BBK01.OEAH82G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:36,
2002-01,0.240,
2002-04,0.253,
2002-07,0.309,
2002-10,0.340,
2003-01,0.333,
2003-04,0.325,
2003-07,0.313,
2003-10,0.258,
2004-01,0.272,
2004-04,0.286,
2004-07,0.358,
2004-10,0.324,
2005-01,0.330,
2005-04,0.460,
2005-07,0.493,
2005-10,0.394,
2006-01,0.354,
2006-04,0.371,
2006-07,0.348,
2006-10,0.234,
2007-01,0.240,
2007-04,0.194,
2007-07,0.151,
2007-10,0.134,
2008-01,0.122,
2008-04,0.105,
2008-07,0.104,
2008-10,0.115,
2009-01,0.206,
2009-04,0.260,
2009-07,0.373,
2009-10,0.405,
2010-01,0.448,
2010-04,0.488,
2010-07,0.567,
2010-10,0.573,
2011-01,0.626,
2011-04,0.617,
2011-07,0.599,
2011-10,0.545,
2012-01,0.566,
2012-04,0.714,
2012-07,0.814,
2012-10,0.917,
2013-01,0.932,
2013-04,1.084,
2013-07,1.181,
2013-10,1.122,
2014-01,1.132,
2014-04,1.168,
2014-07,1.125,
