"",BBSF2.M.1.S.I1252.TOT01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1252.TOT01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Sales receipts / Other insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:46,
2009-09,2461,
2009-10,1399,
2009-11,1915,
2009-12,5112,
2010-01,5540,
2010-02,2197,
2010-03,2516,
2010-04,3400,
2010-05,1747,
2010-06,2404,
2010-07,1169,
2010-08,1578,
2010-09,3618,
2010-10,3152,
2010-11,2263,
2010-12,5653,
2011-01,3480,
2011-02,2743,
2011-03,1291,
2011-04,2362,
2011-05,813,
2011-06,1114,
2011-07,2217,
2011-08,1124,
2011-09,1093,
2011-10,1643,
2011-11,3106,
2011-12,4104,
2012-01,3977,
2012-02,4474,
2012-03,2971,
2012-04,841,
2012-05,2673,
2012-06,3139,
2012-07,10382,
2012-08,2134,
2012-09,6809,
2012-10,3730,
2012-11,3679,
2012-12,3804,
2013-01,6031,
2013-02,3925,
2013-03,4238,
2013-04,2676,
2013-05,2852,
2013-06,1842,
2013-07,1992,
2013-08,968,
2013-09,1978,
2013-10,2952,
2013-11,9209,
2013-12,4015,
2014-01,3532,
2014-02,3864,
2014-03,2759,
2014-04,2518,
2014-05,3649,
2014-06,2932,
2014-07,5185,
2014-08,1797,
2014-09,2502,
2014-10,2966,
2014-11,6497,
