"",BBDA1.M.DE.N.EX.S.GP09IS03.W1.A.V.ABA.A,BBDA1.M.DE.N.EX.S.GP09IS03.W1.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Capital goods / Rest of the World / Unadjusted figure",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:38:45,
2008-01,35992274,
2008-02,37561698,
2008-03,36679503,
2008-04,39912414,
2008-05,34705709,
2008-06,38563409,
2008-07,37282613,
2008-08,30782738,
2008-09,38120637,
2008-10,38564745,
2008-11,33772957,
2008-12,30306685,
2009-01,26325465,
2009-02,26862161,
2009-03,30415861,
2009-04,27165620,
2009-05,25870767,
2009-06,29018539,
2009-07,30026518,
2009-08,24389053,
2009-09,30237327,
2009-10,31001116,
2009-11,31916028,
2009-12,30292191,
2010-01,25742332,
2010-02,29987854,
2010-03,37782588,
2010-04,32655249,
2010-05,32877734,
2010-06,37805264,
2010-07,35666849,
2010-08,30488771,
2010-09,38129687,
2010-10,37679004,
2010-11,39171135,
2010-12,36039887,
2011-01,33014454,
2011-02,36370526,
2011-03,43683849,
2011-04,36713231,
2011-05,41217110,
2011-06,38431490,
2011-07,37550801,
2011-08,35893202,
2011-09,41998110,
2011-10,39367673,
2011-11,43190074,
2011-12,39372193,
2012-01,36815315,
2012-02,41092893,
2012-03,44357439,
2012-04,38876565,
2012-05,41211510,
2012-06,42793748,
2012-07,42265179,
2012-08,38786129,
2012-09,40594492,
2012-10,43144872,
2012-11,42334582,
2012-12,35625998,
2013-01,36645599,
2013-02,38788218,
2013-03,42038606,
2013-04,42355758,
2013-05,38349601,
2013-06,41553976,
2013-07,41323624,
2013-08,36240269,
2013-09,42816554,
2013-10,43705163,
2013-11,43103198,
2013-12,37509027,
2014-01,38204060,
2014-02,41562633,
2014-03,43242601,
2014-04,42094584,
2014-05,41295832,
2014-06,42167476,
2014-07,45930682,
2014-08,34748765,
2014-09,46434944,
2014-10,47515687,
2014-11,44040893,
2014-12,42389808,
