"",BBK01.OEHI04O,BBK01.OEHI04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:46,
2002-01,3.595,
2002-04,3.586,
2002-07,3.612,
2002-10,3.665,
2003-01,3.504,
2003-04,3.420,
2003-07,3.449,
2003-10,3.444,
2004-01,3.302,
2004-04,3.236,
2004-07,3.185,
2004-10,3.076,
2005-01,3.022,
2005-04,2.987,
2005-07,3.046,
2005-10,3.079,
2006-01,3.113,
2006-04,3.273,
2006-07,3.446,
2006-10,3.543,
2007-01,3.601,
2007-04,3.734,
2007-07,4.018,
2007-10,4.386,
2008-01,4.381,
2008-04,4.678,
2008-07,4.980,
2008-10,5.466,
2009-01,4.536,
2009-04,3.738,
2009-07,3.141,
2009-10,2.911,
2010-01,2.443,
2010-04,2.263,
2010-07,2.262,
2010-10,2.376,
2011-01,2.298,
2011-04,2.533,
2011-07,2.768,
2011-10,2.828,
2012-01,2.602,
2012-04,2.592,
2012-07,2.271,
2012-10,2.233,
2013-01,1.737,
2013-04,1.718,
2013-07,1.603,
2013-10,1.665,
2014-01,1.368,
2014-04,1.441,
2014-07,1.445,
