"",BBK01.CEFP0M,BBK01.CEFP0M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:25,
1999-01,18.5,
1999-04,17.9,
1999-07,17.0,
1999-10,17.7,
2000-01,17.9,
2000-04,18.5,
2000-07,19.6,
2000-10,20.0,
2001-01,20.4,
2001-04,19.7,
2001-07,19.8,
2001-10,21.7,
2002-01,21.2,
2002-04,20.8,
2002-07,20.2,
2002-10,21.2,
2003-01,21.6,
2003-04,21.2,
2003-07,20.4,
2003-10,19.9,
2004-01,19.1,
2004-04,18.8,
2004-07,18.1,
2004-10,19.6,
2005-01,18.3,
2005-04,17.5,
2005-07,18.2,
2005-10,18.4,
2006-01,18.3,
2006-04,18.0,
2006-07,19.0,
2006-10,19.5,
2007-01,20.1,
2007-04,21.4,
2007-07,23.1,
2007-10,24.8,
2008-01,26.3,
2008-04,28.3,
2008-07,25.6,
2008-10,25.3,
2009-01,22.2,
2009-04,21.3,
2009-07,20.2,
2009-10,18.2,
2010-01,17.3,
2010-04,17.6,
2010-07,17.9,
2010-10,18.6,
2011-01,17.9,
2011-04,18.5,
2011-07,21.3,
2011-10,19.4,
2012-01,19.8,
2012-04,19.2,
2012-07,18.8,
2012-10,18.5,
2013-01,18.1,
2013-04,17.6,
2013-07,17.2,
2013-10,17.7,
2014-01,17.4,
2014-04,18.3,
2014-07,18.0,
