"",BBK01.OEAD04H,BBK01.OEAD04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:43,
2002-01,1.881,
2002-04,1.819,
2002-07,1.732,
2002-10,1.666,
2003-01,1.689,
2003-04,1.662,
2003-07,1.539,
2003-10,1.431,
2004-01,1.473,
2004-04,1.425,
2004-07,1.380,
2004-10,1.302,
2005-01,1.346,
2005-04,1.271,
2005-07,1.221,
2005-10,1.153,
2006-01,1.186,
2006-04,1.178,
2006-07,1.138,
2006-10,1.117,
2007-01,1.197,
2007-04,1.195,
2007-07,1.488,
2007-10,1.294,
2008-01,1.337,
2008-04,1.322,
2008-07,1.327,
2008-10,1.266,
2009-01,1.437,
2009-04,1.167,
2009-07,1.128,
2009-10,1.072,
2010-01,1.052,
2010-04,1.116,
2010-07,1.078,
2010-10,1.001,
2011-01,1.054,
2011-04,1.084,
2011-07,1.047,
2011-10,1.039,
2012-01,1.149,
2012-04,1.140,
2012-07,1.022,
2012-10,1.000,
2013-01,1.101,
2013-04,1.116,
2013-07,1.028,
2013-10,0.975,
2014-01,0.974,
2014-04,0.920,
2014-07,0.900,
