"",BBK01.OEAH36J,BBK01.OEAH36J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:08,
2002-01,0.282,
2002-04,0.281,
2002-07,0.276,
2002-10,0.277,
2003-01,0.306,
2003-04,0.313,
2003-07,0.297,
2003-10,0.266,
2004-01,0.266,
2004-04,0.254,
2004-07,0.217,
2004-10,0.240,
2005-01,0.237,
2005-04,0.231,
2005-07,0.236,
2005-10,0.236,
2006-01,0.218,
2006-04,0.207,
2006-07,0.216,
2006-10,0.209,
2007-01,0.206,
2007-04,0.198,
2007-07,0.192,
2007-10,0.193,
2008-01,0.202,
2008-04,0.197,
2008-07,0.194,
2008-10,0.190,
2009-01,0.190,
2009-04,0.181,
2009-07,0.182,
2009-10,0.181,
2010-01,0.178,
2010-04,0.170,
2010-07,0.171,
2010-10,0.176,
2011-01,0.175,
2011-04,0.172,
2011-07,0.157,
2011-10,0.151,
2012-01,0.151,
2012-04,0.151,
2012-07,0.148,
2012-10,0.139,
2013-01,0.129,
2013-04,0.157,
2013-07,0.156,
2013-10,0.137,
2014-01,0.132,
2014-04,0.131,
2014-07,0.131,
