"",BBFN1.M.DE.N.1.L.DZ.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.DZ.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Algeria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:19:29,
1994-07,0.022,
1994-08,0.027,
1994-09,0.029,
1994-10,0.012,
1994-11,0.018,
1994-12,0.020,
1995-01,0.019,
1995-02,0.019,
1995-03,0.020,
1995-04,0.016,
1995-05,0.008,
1995-06,0.017,
1995-07,0.014,
1995-08,0.013,
1995-09,0.015,
1995-10,0.007,
1995-11,0.018,
1995-12,0.015,
1996-01,0.018,
1996-02,0.014,
1996-03,0.020,
1996-04,0.016,
1996-05,0.020,
1996-06,0.011,
1996-07,0.019,
1996-08,0.011,
1996-09,0.030,
1996-10,0.010,
1996-11,0.024,
1996-12,0.031,
1997-01,0.031,
1997-02,0.014,
1997-03,0.032,
1997-04,0.009,
1997-05,0.030,
1997-06,0.011,
1997-07,0.008,
1997-08,0.024,
1997-09,0.017,
1997-10,0.026,
1997-11,0.035,
1997-12,0.025,
1998-01,0.015,
1998-02,0.022,
1998-03,0.011,
1998-04,0.014,
1998-05,0.025,
1998-06,0.026,
1998-07,0.017,
1998-08,0.015,
1998-09,0.009,
1998-10,0.017,
1998-11,0.015,
1998-12,0.017,
1999-01,0.015,
1999-02,0.015,
1999-03,0.020,
1999-04,0.020,
1999-05,0.024,
1999-06,0.009,
1999-07,0.009,
1999-08,0.038,
1999-09,0.023,
1999-10,0.030,
1999-11,0.009,
1999-12,0.046,
2000-01,0.027,
2000-02,0.042,
2000-03,0.018,
2000-04,0.022,
2000-05,0.011,
2000-06,0.010,
2000-07,0.031,
2000-08,0.052,
2000-09,0.009,
2000-10,0.009,
2000-11,0.041,
2000-12,0.035,
2001-01,0.030,
2001-02,0.028,
2001-03,0.011,
2001-04,0.019,
2001-05,0.042,
2001-06,0.012,
2001-07,0.013,
2001-08,0.014,
2001-09,0.019,
2001-10,0.012,
2001-11,0.013,
2001-12,0.032,
2002-01,0.032,
2002-02,0.014,
2002-03,0.010,
2002-04,0.019,
2002-05,0.013,
2002-06,0.012,
2002-07,0.036,
2002-08,0.012,
2002-09,0.012,
2002-10,0.020,
2002-11,0.014,
2002-12,0.014,
2003-01,0.014,
2003-02,0.015,
2003-03,0.013,
2003-04,0.016,
2003-05,0.016,
2003-06,0.015,
2003-07,0.015,
2003-08,0.019,
2003-09,0.013,
2003-10,0.013,
2003-11,0.013,
2003-12,0.016,
2004-01,0.016,
2004-02,0.019,
2004-03,0.018,
2004-04,0.015,
2004-05,0.018,
2004-06,0.016,
2004-07,0.015,
2004-08,0.018,
2004-09,0.020,
2004-10,0.019,
2004-11,0.016,
2004-12,0.019,
2005-01,0.017,
2005-02,0.016,
2005-03,0.018,
2005-04,0.018,
2005-05,0.020,
2005-06,0.019,
2005-07,0.018,
2005-08,0.049,
2005-09,0.016,
2005-10,0.018,
2005-11,0.016,
2005-12,0.018,
2006-01,0.018,
2006-02,0.019,
2006-03,0.018,
2006-04,0.021,
2006-05,0.023,
2006-06,0.028,
2006-07,0.029,
2006-08,0.028,
2006-09,0.026,
2006-10,0.025,
2006-11,0.029,
2006-12,0.028,
2007-01,0.027,
2007-02,0.029,
2007-03,0.029,
2007-04,0.031,
2007-05,0.030,
2007-06,0.027,
2007-07,0.023,
2007-08,0.023,
2007-09,0.024,
2007-10,0.025,
2007-11,0.021,
2007-12,0.022,
2008-01,0.024,
2008-02,0.025,
2008-03,0.037,
2008-04,0.029,
2008-05,0.028,
2008-06,0.027,
2008-07,0.029,
2008-08,0.029,
2008-09,0.044,
2008-10,0.044,
2008-11,0.044,
2008-12,0.053,
2009-01,0.051,
2009-02,0.053,
2009-03,0.047,
2009-04,0.048,
2009-05,0.057,
2009-06,0.064,
2009-07,0.056,
2009-08,0.055,
2009-09,0.054,
2009-10,0.052,
2009-11,0.051,
2009-12,0.057,
2010-01,0.058,
2010-02,0.062,
2010-03,0.070,
2010-04,0.054,
2010-05,0.070,
2010-06,0.073,
2010-07,0.053,
2010-08,0.060,
2010-09,0.077,
2010-10,0.057,
2010-11,0.048,
2010-12,0.045,
2011-01,0.050,
2011-02,0.048,
2011-03,0.052,
2011-04,0.053,
2011-05,0.049,
2011-06,0.047,
2011-07,0.062,
2011-08,0.061,
2011-09,0.064,
2011-10,0.061,
2011-11,0.063,
2011-12,0.063,
2012-01,0.062,
2012-02,0.062,
2012-03,0.064,
2012-04,0.067,
2012-05,0.079,
2012-06,0.069,
2012-07,0.072,
2012-08,0.077,
2012-09,0.069,
2012-10,0.075,
2012-11,0.073,
2012-12,0.070,
2013-01,0.070,
2013-02,0.069,
2013-03,0.069,
2013-04,0.076,
2013-05,0.078,
2013-06,0.072,
2013-07,0.071,
2013-08,0.063,
2013-09,0.069,
2013-10,0.069,
2013-11,0.072,
2013-12,0.079,
2014-01,0.076,
2014-02,0.080,
2014-03,0.095,
2014-04,0.103,
2014-05,0.106,
2014-06,0.105,
2014-07,0.117,
2014-08,0.124,
2014-09,0.105,
2014-10,0.111,
2014-11,0.098,
2014-12,0.091,
