"",BBK01.OEAC23Q,BBK01.OEAC23Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:11,
2002-01,0.135,
2002-04,0.166,
2002-07,0.186,
2002-10,0.088,
2003-01,0.184,
2003-04,0.189,
2003-07,0.263,
2003-10,1.045,
2004-01,0.879,
2004-04,0.869,
2004-07,0.838,
2004-10,1.048,
2005-01,0.945,
2005-04,1.160,
2005-07,0.830,
2005-10,0.855,
2006-01,0.927,
2006-04,0.856,
2006-07,0.872,
2006-10,0.898,
2007-01,0.903,
2007-04,0.899,
2007-07,1.071,
2007-10,0.971,
2008-01,0.846,
2008-04,3.560,
2008-07,2.313,
2008-10,0.100,
2009-01,0.128,
2009-04,1.822,
2009-07,1.094,
2009-10,1.925,
2010-01,0.305,
2010-04,2.070,
2010-07,1.268,
2010-10,1.752,
2011-01,2.547,
2011-04,0.061,
2011-07,0.224,
2011-10,0.174,
2012-01,2.878,
2012-04,3.059,
2012-07,6.307,
2012-10,1.657,
2013-01,0.103,
2013-04,0.059,
2013-07,0.064,
2013-10,0.077,
2014-01,0.073,
2014-04,0.080,
2014-07,0.155,
