"",BBEX3.M.CZK.EUR.BB.AC.A01,BBEX3.M.CZK.EUR.BB.AC.A01_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = CZK ... / Czech Republic,
unit,CZK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:00:24,
1999-01,36.827,
1999-02,37.908,
1999-03,38.393,
1999-04,37.643,
1999-05,37.553,
1999-06,36.418,
1999-07,36.664,
1999-08,36.573,
1999-09,35.775,
1999-10,36.612,
1999-11,36.077,
1999-12,36.103,
2000-01,35.790,
2000-02,35.585,
2000-03,36.223,
2000-04,36.324,
2000-05,36.135,
2000-06,35.622,
2000-07,35.424,
2000-08,35.370,
2000-09,35.550,
2000-10,34.869,
2000-11,34.628,
2000-12,35.047,
2001-01,34.690,
2001-02,34.642,
2001-03,34.552,
2001-04,34.526,
2001-05,34.195,
2001-06,33.780,
2001-07,33.980,
2001-08,34.322,
2001-09,33.912,
2001-10,33.620,
2001-11,33.097,
2001-12,31.962,
2002-01,31.902,
2002-02,31.612,
2002-03,31.013,
2002-04,30.640,
2002-05,30.418,
2002-06,29.267,
2002-07,30.330,
2002-08,30.444,
2002-09,30.285,
2002-10,30.778,
2002-11,30.857,
2002-12,31.577,
2003-01,31.572,
2003-02,31.802,
2003-03,31.947,
2003-04,31.433,
2003-05,31.333,
2003-06,31.572,
2003-07,32.220,
2003-08,32.440,
2003-09,31.844,
2003-10,32.035,
2003-11,32.095,
2003-12,32.410,
2004-01,33.323,
2004-02,32.435,
2004-03,32.833,
2004-04,32.543,
2004-05,31.625,
2004-06,31.755,
2004-07,31.693,
2004-08,31.878,
2004-09,31.660,
2004-10,31.535,
2004-11,30.988,
2004-12,30.464,
2005-01,30.140,
2005-02,29.743,
2005-03,29.955,
2005-04,30.499,
2005-05,30.372,
2005-06,30.030,
2005-07,30.150,
2005-08,29.568,
2005-09,29.553,
2005-10,29.595,
2005-11,28.933,
2005-12,29.000,
2006-01,28.408,
2006-02,28.320,
2006-03,28.595,
2006-04,28.420,
2006-05,28.208,
2006-06,28.493,
2006-07,28.528,
2006-08,28.214,
2006-09,28.326,
2006-10,28.219,
2006-11,27.972,
2006-12,27.485,
2007-01,28.163,
2007-02,28.295,
2007-03,28.010,
2007-04,28.123,
2007-05,28.324,
2007-06,28.718,
2007-07,28.037,
2007-08,27.726,
2007-09,27.532,
2007-10,26.973,
2007-11,26.261,
2007-12,26.628,
2008-01,26.070,
2008-02,25.228,
2008-03,25.335,
2008-04,25.205,
2008-05,25.088,
2008-06,23.893,
2008-07,23.947,
2008-08,24.735,
2008-09,24.660,
2008-10,24.220,
2008-11,25.209,
2008-12,26.875,
2009-01,27.882,
2009-02,28.090,
2009-03,27.388,
2009-04,26.701,
2009-05,26.825,
2009-06,25.882,
2009-07,25.573,
2009-08,25.376,
2009-09,25.164,
2009-10,26.458,
2009-11,26.135,
2009-12,26.473,
2010-01,26.223,
2010-02,25.970,
2010-03,25.440,
2010-04,25.527,
2010-05,25.505,
2010-06,25.691,
2010-07,24.777,
2010-08,24.850,
2010-09,24.600,
2010-10,24.598,
2010-11,24.915,
2010-12,25.061,
2011-01,24.223,
2011-02,24.353,
2011-03,24.543,
2011-04,24.223,
2011-05,24.547,
2011-06,24.345,
2011-07,24.188,
2011-08,24.110,
2011-09,24.754,
2011-10,24.801,
2011-11,25.321,
2011-12,25.787,
2012-01,25.188,
2012-02,24.843,
2012-03,24.730,
2012-04,24.867,
2012-05,25.693,
2012-06,25.640,
2012-07,25.255,
2012-08,24.840,
2012-09,25.141,
2012-10,25.064,
2012-11,25.262,
2012-12,25.151,
2013-01,25.619,
2013-02,25.637,
2013-03,25.740,
2013-04,25.799,
2013-05,25.711,
2013-06,25.949,
2013-07,25.857,
2013-08,25.735,
2013-09,25.730,
2013-10,25.729,
2013-11,27.391,
2013-12,27.427,
2014-01,27.500,
2014-02,27.344,
2014-03,27.442,
2014-04,27.454,
2014-05,27.471,
2014-06,27.453,
2014-07,27.570,
2014-08,27.725,
2014-09,27.500,
2014-10,27.770,
2014-11,27.652,
2014-12,27.735,
2015-01,27.797,
2015-02,27.438,
"","General: The ECB publishes daily euro foreign exchange reference rates, which are calculated on the basis of the concertation between central banks at 14.15.",
"",Source: European Central Bank (ECB).,
