"",BBFI1.Q.N.DE.W1.S1.S1.K7A.L.FA.D.F511._Z._T.M.N,BBFI1.Q.N.DE.W1.S1.S1.K7A.L.FA.D.F511._Z._T.M.N_FLAGS
"",IIP - Direct investment - Listed shares - Liabilities - Revaluations due to exchange rate changes - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:00:21,
2013-01,-,Nothing exists
2013-04,-,Nothing exists
2013-07,-,Nothing exists
2013-10,-,Nothing exists
2014-01,-,Nothing exists
2014-04,-,Nothing exists
2014-07,-,Nothing exists
