"",BBFB1.M.N.DE.W1.S1.S1.T.AD.FA.P.F52._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.AD.FA.P.F52._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Investmentfondsanteile / Sales / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:39,
1991-01,609.416,
1991-02,665.636,
1991-03,891.089,
1991-04,880.734,
1991-05,638.910,
1991-06,818.072,
1991-07,366.367,
1991-08,568.935,
1991-09,545.092,
1991-10,855.315,
1991-11,846.762,
1991-12,2971.955,
1992-01,1076.667,
1992-02,781.879,
1992-03,1082.176,
1992-04,679.987,
1992-05,1343.498,
1992-06,722.546,
1992-07,785.230,
1992-08,711.341,
1992-09,2590.036,
1992-10,1726.724,
1992-11,1382.314,
1992-12,4644.819,
1993-01,1957.856,
1993-02,1577.346,
1993-03,2931.879,
1993-04,1450.539,
1993-05,1876.856,
1993-06,1821.619,
1993-07,2023.078,
1993-08,1977.352,
1993-09,3654.252,
1993-10,3645.969,
1993-11,5695.022,
1993-12,16299.102,
1994-01,4048.328,
1994-02,2732.683,
1994-03,2341.539,
1994-04,1755.347,
1994-05,1613.292,
1994-06,1754.273,
1994-07,1578.656,
1994-08,2122.209,
1994-09,2754.270,
1994-10,2637.791,
1994-11,2786.386,
1994-12,5254.717,
1995-01,4413.451,
1995-02,3442.591,
1995-03,3966.526,
1995-04,3023.572,
1995-05,3535.785,
1995-06,3697.175,
1995-07,2988.440,
1995-08,3146.967,
1995-09,3152.071,
1995-10,3115.378,
1995-11,3089.438,
1995-12,4444.234,
1996-01,4382.124,
1996-02,3639.716,
1996-03,4161.733,
1996-04,3263.040,
1996-05,3249.050,
1996-06,2805.844,
1996-07,3310.060,
1996-08,2496.679,
1996-09,2741.519,
1996-10,2788.210,
1996-11,3157.705,
1996-12,4517.621,
1997-01,7327.026,
1997-02,3687.700,
1997-03,4065.955,
1997-04,3319.869,
1997-05,3032.427,
1997-06,3703.710,
1997-07,3845.711,
1997-08,3880.170,
1997-09,3389.820,
1997-10,3852.692,
1997-11,3160.014,
1997-12,5137.802,
1998-01,4665.847,
1998-02,4034.924,
1998-03,4470.915,
1998-04,4698.194,
1998-05,3891.177,
1998-06,5070.256,
1998-07,4368.940,
1998-08,3865.230,
1998-09,4026.270,
1998-10,5326.587,
1998-11,3644.327,
1998-12,7001.437,
1999-01,6945.942,
1999-02,4096.995,
1999-03,5270.297,
1999-04,4618.179,
1999-05,3398.393,
1999-06,5369.804,
1999-07,5664.323,
1999-08,4846.501,
1999-09,4594.480,
1999-10,6194.831,
1999-11,7335.276,
1999-12,8903.236,
2000-01,10033.810,
2000-02,8890.541,
2000-03,10282.205,
2000-04,7813.529,
2000-05,8617.512,
2000-06,6444.233,
2000-07,8042.519,
2000-08,7584.880,
2000-09,8846.303,
2000-10,8784.504,
2000-11,8053.014,
2000-12,10018.582,
2001-01,8927.465,
2001-02,7150.557,
2001-03,10382.298,
2001-04,7793.343,
2001-05,8940.480,
2001-06,8365.356,
2001-07,8494.119,
2001-08,10372.442,
2001-09,8522.730,
2001-10,8169.422,
2001-11,9562.482,
2001-12,10266.601,
2002-01,13721.868,
2002-02,14453.250,
2002-03,10746.184,
2002-04,10061.971,
2002-05,9750.945,
2002-06,10293.088,
2002-07,10508.723,
2002-08,8833.345,
2002-09,9466.109,
2002-10,11881.231,
2002-11,12574.397,
2002-12,14842.727,
2003-01,15776.050,
2003-02,12604.432,
2003-03,12025.039,
2003-04,11394.722,
2003-05,10567.181,
2003-06,11478.340,
2003-07,14312.834,
2003-08,12473.112,
2003-09,12780.810,
2003-10,12602.840,
2003-11,12328.317,
2003-12,16231.031,
2004-01,14638.209,
