"",BBK01.OEHO03L,BBK01.OEHO03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:53,
2002-01,2.807,
2002-04,2.102,
2002-07,1.845,
2002-10,1.933,
2003-01,2.129,
2003-04,1.686,
2003-07,1.633,
2003-10,1.804,
2004-01,1.870,
2004-04,1.593,
2004-07,1.465,
2004-10,1.555,
2005-01,1.828,
2005-04,1.583,
2005-07,1.401,
2005-10,1.614,
2006-01,1.777,
2006-04,1.589,
2006-07,1.656,
2006-10,2.043,
2007-01,2.391,
2007-04,2.081,
2007-07,1.956,
2007-10,2.229,
2008-01,2.270,
2008-04,1.890,
2008-07,1.764,
2008-10,1.905,
2009-01,1.697,
2009-04,1.434,
2009-07,1.265,
2009-10,1.491,
2010-01,1.330,
2010-04,1.044,
2010-07,1.023,
2010-10,1.163,
2011-01,1.116,
2011-04,1.166,
2011-07,1.193,
2011-10,1.294,
2012-01,1.268,
2012-04,1.119,
2012-07,1.170,
2012-10,1.320,
2013-01,1.148,
2013-04,0.986,
2013-07,0.935,
2013-10,1.021,
2014-01,1.270,
2014-04,1.287,
2014-07,1.125,
