"",BBFB1.Q.N.DE.A7.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.A7.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / South American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:16,
1991-01,215.733,
1991-04,-89.035,
1991-07,79.618,
1991-10,130.311,
1992-01,107.175,
1992-04,253.978,
1992-07,297.606,
1992-10,128.926,
1993-01,-223.192,
1993-04,287.487,
1993-07,270.108,
1993-10,68.650,
1994-01,187.710,
1994-04,222.690,
1994-07,373.769,
1994-10,89.910,
1995-01,-500.436,
1995-04,352.890,
1995-07,1193.588,
1995-10,-836.109,
1996-01,343.903,
1996-04,944.710,
1996-07,-426.145,
1996-10,800.862,
1997-01,-112.030,
1997-04,1167.049,
1997-07,-503.466,
1997-10,436.442,
1998-01,801.855,
1998-04,-122.539,
1998-07,-1586.280,
1998-10,-165.457,
1999-01,58.207,
1999-04,909.150,
1999-07,646.778,
1999-10,1069.888,
2000-01,-508.591,
2000-04,211.081,
2000-07,1868.159,
2000-10,468.380,
2001-01,-5.276,
2001-04,2277.377,
2001-07,-1176.959,
2001-10,-249.594,
2002-01,246.185,
2002-04,-910.454,
2002-07,-1143.749,
2002-10,109.673,
2003-01,-428.964,
2003-04,675.835,
2003-07,504.856,
2003-10,-861.679,
2004-01,1034.057,
2004-04,75.929,
2004-07,86.545,
2004-10,-587.171,
2005-01,-14.110,
2005-04,570.787,
2005-07,-388.599,
2005-10,-670.726,
2006-01,502.988,
2006-04,-787.869,
2006-07,-305.935,
2006-10,342.000,
2007-01,838.714,
2007-04,2168.908,
2007-07,245.254,
2007-10,2097.936,
2008-01,1389.151,
2008-04,4744.544,
2008-07,1223.165,
2008-10,-4725.700,
2009-01,-300.715,
2009-04,1111.697,
2009-07,-802.702,
2009-10,72.052,
2010-01,732.141,
2010-04,159.094,
2010-07,3372.295,
2010-10,-1622.982,
2011-01,-117.032,
2011-04,-26.711,
2011-07,4587.867,
2011-10,-4562.747,
2012-01,189.386,
2012-04,350.129,
2012-07,89.827,
2012-10,-1399.650,
2013-01,558.613,
2013-04,-380.311,
2013-07,-949.655,
2013-10,2454.879,
2014-01,-906.607,Provisional value
2014-04,-842.293,Provisional value
2014-07,-1112.822,Provisional value
2014-10,-178.747,Provisional value
