"",BBDA1.M.DE.Y.IM.S.A.W1.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.A.W1.A.V.ABA.A_FLAGS
"","Germany / Imports / At current prices, flows / Aggregate / all goods / Rest of the World / At current prices, flows / Calendar and seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 11:00:37,
1990-07,23.62,
1990-08,24.79,
1990-09,25.30,
1990-10,25.56,
1990-11,27.21,
1990-12,27.03,
1991-01,28.55,
1991-02,26.76,
1991-03,27.03,
1991-04,26.22,
1991-05,29.02,
1991-06,27.67,
1991-07,28.40,
1991-08,28.21,
1991-09,27.98,
1991-10,27.53,
1991-11,28.05,
1991-12,26.89,
1992-01,28.20,
1992-02,27.91,
1992-03,27.56,
1992-04,28.76,
1992-05,27.03,
1992-06,25.55,
1992-07,28.38,
1992-08,25.97,
1992-09,26.07,
1992-10,26.31,
1992-11,25.92,
1992-12,26.90,
1993-01,24.25,
1993-02,25.29,
1993-03,23.33,
1993-04,24.64,
1993-05,23.70,
1993-06,23.50,
1993-07,23.94,
1993-08,24.82,
1993-09,24.49,
1993-10,24.08,
1993-11,25.05,
1993-12,24.55,
1994-01,24.59,
1994-02,25.22,
1994-03,26.26,
1994-04,25.42,
1994-05,26.92,
1994-06,26.04,
1994-07,26.51,
1994-08,26.38,
1994-09,27.19,
1994-10,27.05,
1994-11,27.30,
1994-12,28.65,
1995-01,26.74,
1995-02,28.52,
1995-03,28.92,
1995-04,27.59,
1995-05,27.95,
1995-06,29.19,
1995-07,28.12,
1995-08,27.33,
1995-09,29.45,
1995-10,28.61,
1995-11,27.91,
1995-12,29.09,
1996-01,30.34,
1996-02,28.19,
1996-03,29.22,
1996-04,29.14,
1996-05,28.34,
1996-06,29.49,
1996-07,29.22,
1996-08,28.57,
1996-09,29.62,
1996-10,30.44,
1996-11,29.98,
1996-12,30.96,
1997-01,32.13,
1997-02,31.86,
1997-03,31.93,
1997-04,30.66,
1997-05,33.08,
1997-06,32.54,
1997-07,33.75,
1997-08,33.64,
1997-09,33.55,
1997-10,34.62,
1997-11,34.12,
1997-12,33.75,
1998-01,37.60,
1998-02,35.15,
1998-03,34.48,
1998-04,37.10,
1998-05,33.59,
1998-06,36.31,
1998-07,36.00,
1998-08,35.22,
1998-09,33.97,
1998-10,34.75,
1998-11,33.01,
