"",BBK01.OEXJ01I,BBK01.OEXJ01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:22,
2002-01,7.312,
2002-04,6.117,
2002-07,6.921,
2002-10,7.340,
2003-01,7.127,
2003-04,7.289,
2003-07,5.773,
2003-10,4.953,
2004-01,5.247,
2004-04,5.775,
2004-07,6.051,
2004-10,5.493,
2005-01,6.564,
2005-04,6.430,
2005-07,6.074,
2005-10,5.128,
2006-01,5.376,
2006-04,5.187,
2006-07,4.029,
2006-10,5.438,
2007-01,5.910,
2007-04,6.269,
2007-07,6.633,
2007-10,6.418,
2008-01,6.528,
2008-04,6.627,
2008-07,6.643,
2008-10,6.564,
2009-01,7.296,
2009-04,7.432,
2009-07,7.672,
2009-10,8.050,
2010-01,8.125,
2010-04,8.777,
2010-07,9.321,
2010-10,9.638,
2011-01,10.390,
2011-04,10.257,
2011-07,11.282,
2011-10,11.274,
2012-01,11.982,
2012-04,12.524,
2012-07,13.237,
2012-10,13.145,
2013-01,13.404,
2013-04,13.375,
2013-07,13.703,
2013-10,14.411,
2014-01,14.335,
2014-04,14.059,
2014-07,14.637,
