"",BBK01.OEAC11J,BBK01.OEAC11J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:41,
2002-01,2.712,
2002-04,2.706,
2002-07,2.589,
2002-10,2.611,
2003-01,2.582,
2003-04,2.607,
2003-07,2.755,
2003-10,2.738,
2004-01,2.632,
2004-04,2.646,
2004-07,2.626,
2004-10,2.416,
2005-01,2.479,
2005-04,2.484,
2005-07,2.492,
2005-10,2.524,
2006-01,2.495,
2006-04,2.587,
2006-07,2.585,
2006-10,2.590,
2007-01,2.548,
2007-04,2.598,
2007-07,2.582,
2007-10,2.558,
2008-01,2.530,
2008-04,2.490,
2008-07,2.301,
2008-10,2.316,
2009-01,2.312,
2009-04,2.331,
2009-07,2.364,
2009-10,2.290,
2010-01,1.454,
2010-04,2.388,
2010-07,2.344,
2010-10,2.307,
2011-01,2.261,
2011-04,2.155,
2011-07,2.213,
2011-10,2.168,
2012-01,2.144,
2012-04,2.302,
2012-07,2.283,
2012-10,2.245,
2013-01,2.288,
2013-04,2.253,
2013-07,2.253,
2013-10,2.228,
2014-01,2.230,
2014-04,2.208,
2014-07,2.260,
