"",BBSF2.M.1.S.00000.IMM01.A.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.IMM01.A.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Sales receipts / Distribution funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:21,
2009-09,296,
2009-10,1569,
2009-11,290,
2009-12,967,
2010-01,340,
2010-02,97,
2010-03,93,
2010-04,134,
2010-05,227,
2010-06,76,
2010-07,347,
2010-08,215,
2010-09,154,
2010-10,536,
2010-11,437,
2010-12,767,
2011-01,176,
2011-02,351,
2011-03,310,
2011-04,208,
2011-05,502,
2011-06,258,
2011-07,356,
2011-08,310,
2011-09,356,
2011-10,671,
2011-11,599,
2011-12,964,
2012-01,372,
2012-02,224,
2012-03,434,
2012-04,158,
2012-05,354,
2012-06,660,
2012-07,440,
2012-08,587,
2012-09,434,
2012-10,576,
2012-11,505,
2012-12,1352,
2013-01,825,
2013-02,640,
2013-03,835,
2013-04,628,
2013-05,299,
2013-06,607,
2013-07,531,
2013-08,647,
2013-09,365,
2013-10,357,
2013-11,1430,
2013-12,1351,
2014-01,417,
2014-02,659,
2014-03,1030,
2014-04,270,
2014-05,569,
2014-06,875,
2014-07,606,
2014-08,582,
2014-09,614,
2014-10,652,
2014-11,1301,
