"",BBK01.OEBI04L,BBK01.OEBI04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:33,
2002-01,81.657,
2002-04,73.022,
2002-07,85.936,
2002-10,71.381,
2003-01,89.668,
2003-04,84.152,
2003-07,99.745,
2003-10,87.973,
2004-01,87.819,
2004-04,77.173,
2004-07,89.249,
2004-10,111.321,
2005-01,98.071,
2005-04,101.790,
2005-07,111.075,
2005-10,102.912,
2006-01,104.785,
2006-04,101.912,
2006-07,123.415,
2006-10,111.869,
2007-01,114.079,
2007-04,124.053,
2007-07,117.934,
2007-10,137.222,
2008-01,146.187,
2008-04,132.628,
2008-07,134.289,
2008-10,114.714,
2009-01,94.041,
2009-04,95.739,
2009-07,91.105,
2009-10,82.523,
2010-01,79.980,
2010-04,83.074,
2010-07,84.857,
2010-10,84.977,
2011-01,76.475,
2011-04,98.609,
2011-07,91.422,
2011-10,91.724,
2012-01,87.334,
2012-04,91.090,
2012-07,87.966,
2012-10,94.584,
2013-01,99.388,
2013-04,118.036,
2013-07,76.869,
2013-10,91.157,
2014-01,83.742,
2014-04,80.454,
2014-07,94.344,
