"",BBFI1.Q.N.DE.W1.S12T.S1.LE.A.FA.P.F3.L._T.M.N,BBFI1.Q.N.DE.W1.S12T.S1.LE.A.FA.P.F3.L._T.M.N_FLAGS
"",IIP - Portfolio investment - Debt securities - Long-term original maturity (over 1 year) - Assets - Positions - resident holder: Monetary financial institutions other than central bank - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:05:29,
1999-10,186000,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,230152,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,272719,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,283004,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,318034,
2004-01,350698,
2004-04,354585,
2004-07,371207,
2004-10,387140,
2005-01,426560,
2005-04,470066,
2005-07,462371,
2005-10,478253,
2006-01,506565,
2006-04,525601,
2006-07,564887,
2006-10,595533,
2007-01,647969,
2007-04,629718,
2007-07,641001,
2007-10,653268,
2008-01,666460,
2008-04,668977,
2008-07,660671,
2008-10,634553,
2009-01,622462,
2009-04,624946,
2009-07,637286,
2009-10,630724,
2010-01,638462,
2010-04,589910,
2010-07,584032,
2010-10,555790,
2011-01,545640,
2011-04,539637,
2011-07,494860,
2011-10,484620,
2012-01,495029,
2012-04,483745,
2012-07,486078,
2012-10,490551,
2013-01,487474,
2013-04,490994,
2013-07,490903,
2013-10,493167,
2014-01,503131,
2014-04,511029,
2014-07,522797,
