"",BBK01.OELI08L,BBK01.OELI08L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:12,
2002-01,13.888,
2002-04,13.832,
2002-07,13.787,
2002-10,14.100,
2003-01,14.120,
2003-04,14.106,
2003-07,14.086,
2003-10,14.347,
2004-01,14.264,
2004-04,14.386,
2004-07,14.346,
2004-10,14.654,
2005-01,14.809,
2005-04,14.943,
2005-07,14.910,
2005-10,15.128,
2006-01,15.081,
2006-04,15.066,
2006-07,14.756,
2006-10,14.559,
2007-01,13.934,
2007-04,13.507,
2007-07,13.000,
2007-10,12.615,
2008-01,12.134,
2008-04,11.768,
2008-07,11.373,
2008-10,11.295,
2009-01,11.361,
2009-04,11.500,
2009-07,11.583,
2009-10,11.968,
2010-01,12.214,
2010-04,12.633,
2010-07,12.989,
2010-10,13.428,
2011-01,13.686,
2011-04,13.964,
2011-07,13.942,
2011-10,13.963,
2012-01,13.881,
2012-04,13.780,
2012-07,13.664,
2012-10,13.597,
2013-01,13.500,
2013-04,13.450,
2013-07,13.420,
2013-10,13.506,
2014-01,13.308,
2014-04,13.097,
2014-07,12.868,
