"",BBK01.OEBI05T,BBK01.OEBI05T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:43,
2002-01,0.040,
2002-04,0.039,
2002-07,0.040,
2002-10,0.040,
2003-01,0.039,
2003-04,0.043,
2003-07,0.044,
2003-10,0.041,
2004-01,0.039,
2004-04,0.035,
2004-07,0.035,
2004-10,0.029,
2005-01,0.091,
2005-04,0.088,
2005-07,0.083,
2005-10,0.084,
2006-01,0.082,
2006-04,0.079,
2006-07,0.086,
2006-10,0.091,
2007-01,0.084,
2007-04,0.083,
2007-07,0.084,
2007-10,0.083,
2008-01,0.082,
2008-04,0.083,
2008-07,0.084,
2008-10,0.097,
2009-01,0.100,
2009-04,0.116,
2009-07,0.134,
2009-10,0.136,
2010-01,0.148,
2010-04,0.148,
2010-07,0.155,
2010-10,0.149,
2011-01,0.159,
2011-04,0.148,
2011-07,0.134,
2011-10,0.141,
2012-01,0.171,
2012-04,0.171,
2012-07,0.162,
2012-10,0.169,
2013-01,0.164,
2013-04,0.164,
2013-07,0.170,
2013-10,0.161,
2014-01,0.171,
2014-04,0.230,
2014-07,0.226,
