"",BBK01.OEAF26I,BBK01.OEAF26I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:39,
2002-01,1.069,
2002-04,1.154,
2002-07,1.210,
2002-10,1.109,
2003-01,1.107,
2003-04,1.497,
2003-07,0.984,
2003-10,0.962,
2004-01,0.917,
2004-04,0.945,
2004-07,0.932,
2004-10,0.911,
2005-01,1.107,
2005-04,1.102,
2005-07,1.180,
2005-10,1.192,
2006-01,1.206,
2006-04,1.248,
2006-07,1.269,
2006-10,1.269,
2007-01,1.268,
2007-04,1.308,
2007-07,1.321,
2007-10,1.214,
2008-01,1.214,
2008-04,1.455,
2008-07,1.459,
2008-10,1.618,
2009-01,1.645,
2009-04,1.673,
2009-07,1.693,
2009-10,1.865,
2010-01,1.821,
2010-04,1.870,
2010-07,1.768,
2010-10,1.740,
2011-01,1.757,
2011-04,1.706,
2011-07,1.689,
2011-10,1.341,
2012-01,1.308,
2012-04,1.241,
2012-07,1.178,
2012-10,1.134,
2013-01,1.084,
2013-04,1.071,
2013-07,1.081,
2013-10,1.076,
2014-01,1.087,
2014-04,0.943,
2014-07,0.946,
