"",BBK01.OEBO02K,BBK01.OEBO02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:32,
2002-01,0.823,
2002-04,0.601,
2002-07,0.536,
2002-10,0.656,
2003-01,0.763,
2003-04,0.595,
2003-07,0.659,
2003-10,0.602,
2004-01,0.725,
2004-04,0.523,
2004-07,0.706,
2004-10,0.794,
2005-01,0.950,
2005-04,0.803,
2005-07,0.741,
2005-10,0.738,
2006-01,0.894,
2006-04,0.850,
2006-07,0.788,
2006-10,0.913,
2007-01,1.371,
2007-04,0.931,
2007-07,0.868,
2007-10,1.031,
2008-01,1.083,
2008-04,1.037,
2008-07,1.001,
2008-10,1.767,
2009-01,1.250,
2009-04,1.028,
2009-07,1.410,
2009-10,1.095,
2010-01,1.118,
2010-04,0.799,
2010-07,0.731,
2010-10,0.920,
2011-01,1.045,
2011-04,0.831,
2011-07,0.819,
2011-10,0.778,
2012-01,1.111,
2012-04,0.703,
2012-07,0.952,
2012-10,0.683,
2013-01,0.783,
2013-04,0.531,
2013-07,0.483,
2013-10,0.541,
2014-01,0.467,
2014-04,0.375,
2014-07,0.549,
