"",BBDA1.M.DE.Y.IM.S.GP09IS07.W1.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.GP09IS07.W1.A.V.ABA.A_FLAGS
"","German foreign trade: imports / At current prices, flows / Energy / Rest of the World / Calendar and seasonally adjusted",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:37,
2008-01,9.00,
2008-02,8.84,
2008-03,8.68,
2008-04,9.53,
2008-05,9.07,
2008-06,9.67,
2008-07,11.60,
2008-08,10.38,
2008-09,10.43,
2008-10,10.29,
2008-11,8.94,
2008-12,7.60,
2009-01,7.26,
2009-02,6.45,
2009-03,6.65,
2009-04,5.65,
2009-05,5.80,
2009-06,5.80,
2009-07,6.27,
2009-08,6.37,
2009-09,7.11,
2009-10,6.37,
2009-11,5.84,
2009-12,6.31,
2010-01,6.61,
2010-02,6.48,
2010-03,7.88,
2010-04,7.42,
2010-05,7.97,
2010-06,8.15,
2010-07,7.55,
2010-08,8.10,
2010-09,7.16,
2010-10,8.06,
2010-11,8.33,
2010-12,8.14,
2011-01,9.39,
2011-02,9.73,
2011-03,10.00,
2011-04,10.79,
2011-05,9.72,
2011-06,8.81,
2011-07,11.24,
2011-08,9.85,
2011-09,9.95,
2011-10,10.40,
2011-11,10.64,
2011-12,10.36,
2012-01,10.89,
2012-02,11.19,
2012-03,12.92,
2012-04,10.78,
2012-05,11.01,
2012-06,10.94,
2012-07,10.59,
2012-08,10.41,
2012-09,10.95,
2012-10,12.75,
2012-11,10.42,
2012-12,11.59,
2013-01,11.35,
2013-02,11.18,
2013-03,10.85,
2013-04,10.79,
2013-05,11.10,
2013-06,11.30,
2013-07,11.19,
2013-08,12.09,
2013-09,10.62,
2013-10,10.95,
2013-11,10.95,
2013-12,10.23,
2014-01,10.78,
2014-02,10.46,
2014-03,10.29,
2014-04,9.76,
2014-05,10.40,
2014-06,9.62,
2014-07,9.49,
2014-08,9.66,
2014-09,10.27,
2014-10,9.68,
2014-11,9.76,
2014-12,8.71,
