"",BBK01.OEAH34R,BBK01.OEAH34R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:44,
2002-01,0.005,
2002-04,0.005,
2002-07,0.006,
2002-10,0.004,
2003-01,0.002,
2003-04,0.006,
2003-07,0.006,
2003-10,0.007,
2004-01,0.006,
2004-04,0.008,
2004-07,0.008,
2004-10,0.008,
2005-01,0.007,
2005-04,0.003,
2005-07,0.003,
2005-10,0.006,
2006-01,0.005,
2006-04,0.005,
2006-07,0.008,
2006-10,0.009,
2007-01,0.010,
2007-04,0.012,
2007-07,0.012,
2007-10,0.014,
2008-01,0.010,
2008-04,0.011,
2008-07,0.021,
2008-10,0.023,
2009-01,0.027,
2009-04,0.030,
2009-07,0.021,
2009-10,0.022,
2010-01,0.019,
2010-04,0.019,
2010-07,0.017,
2010-10,0.025,
2011-01,0.026,
2011-04,0.028,
2011-07,0.024,
2011-10,0.028,
2012-01,0.034,
2012-04,0.043,
2012-07,0.059,
2012-10,0.051,
2013-01,0.038,
2013-04,0.034,
2013-07,0.019,
2013-10,0.018,
2014-01,0.018,
2014-04,0.013,
2014-07,0.015,
