"",BBK01.OEAH66I,BBK01.OEAH66I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:43,
2002-01,0.842,
2002-04,0.843,
2002-07,0.838,
2002-10,0.830,
2003-01,0.805,
2003-04,0.894,
2003-07,0.786,
2003-10,0.767,
2004-01,0.744,
2004-04,0.735,
2004-07,0.723,
2004-10,0.704,
2005-01,0.685,
2005-04,0.667,
2005-07,0.654,
2005-10,0.630,
2006-01,0.589,
2006-04,0.567,
2006-07,0.547,
2006-10,0.519,
2007-01,0.493,
2007-04,0.473,
2007-07,0.455,
2007-10,0.430,
2008-01,0.392,
2008-04,0.377,
2008-07,0.371,
2008-10,0.388,
2009-01,0.398,
2009-04,0.384,
2009-07,0.376,
2009-10,0.442,
2010-01,0.557,
2010-04,0.719,
2010-07,0.748,
2010-10,0.823,
2011-01,0.824,
2011-04,0.908,
2011-07,0.955,
2011-10,0.958,
2012-01,0.978,
2012-04,0.991,
2012-07,0.996,
2012-10,0.922,
2013-01,0.802,
2013-04,0.660,
2013-07,0.626,
2013-10,0.603,
2014-01,0.573,
2014-04,0.502,
2014-07,0.478,
