"",BBEX3.A.QAR.USD.CA.AA.A04,BBEX3.A.QAR.USD.CA.AA.A04_FLAGS
"",Exchange rates for the US dollar in Qatar / USD 1 = QAR ... (buying),
unit,QAR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:15:57,
1983,3.6300,
1984,3.6300,
1985,3.6300,
1986,3.6300,
1987,3.6300,
1988,3.6300,
1989,3.6300,
1990,3.6300,
1991,3.6300,
1992,3.6300,
1993,3.6300,
1994,3.6300,
1995,3.6300,
1996,3.6300,
1997,3.6300,
1998,3.6300,
1999,3.6300,
2000,3.6300,
2001,3.6300,
2002,3.6300,
2003,3.6300,
2004,3.6300,
2005,3.6300,
2006,3.6300,
2007,3.6300,
2008,3.6300,
2009,3.6300,
2010,3.6300,
2011,3.6300,
2012,3.6300,
2013,3.6300,
2014,3.6300,
"",General: The Qatari riyal is pegged to the US dollar.,
"","Source: Qatar National Bank, Doha",
