"",BBK01.OELM01N,BBK01.OELM01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:28,
2002-01,0.598,
2002-04,0.589,
2002-07,0.557,
2002-10,0.681,
2003-01,0.594,
2003-04,0.578,
2003-07,0.607,
2003-10,0.669,
2004-01,0.572,
2004-04,0.611,
2004-07,0.628,
2004-10,0.745,
2005-01,0.707,
2005-04,0.800,
2005-07,0.911,
2005-10,0.795,
2006-01,0.835,
2006-04,0.928,
2006-07,1.002,
2006-10,1.281,
2007-01,1.059,
2007-04,1.200,
2007-07,1.129,
2007-10,1.277,
2008-01,0.974,
2008-04,1.125,
2008-07,1.377,
2008-10,1.591,
2009-01,1.179,
2009-04,1.287,
2009-07,1.497,
2009-10,1.488,
2010-01,1.234,
2010-04,1.314,
2010-07,1.340,
2010-10,1.613,
2011-01,1.276,
2011-04,1.487,
2011-07,1.526,
2011-10,1.527,
2012-01,1.483,
2012-04,1.708,
2012-07,1.864,
2012-10,2.462,
2013-01,2.431,
2013-04,2.601,
2013-07,2.801,
2013-10,3.361,
2014-01,2.625,
2014-04,2.516,
2014-07,2.506,
