"",BBK01.OUL404,BBK01.OUL404_FLAGS
"",Balances and loans to foreign banks (MFIs) / short-term / Credit cooperatives,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:46:51,
1999-01,1.111,
1999-02,0.887,
1999-03,0.840,
1999-04,0.963,
1999-05,1.095,
1999-06,1.281,
1999-07,1.243,
1999-08,1.148,
1999-09,1.310,
1999-10,1.243,
1999-11,1.459,
1999-12,1.107,
2000-01,1.023,
2000-02,0.999,
2000-03,1.057,
2000-04,0.864,
2000-05,0.715,
2000-06,0.986,
2000-07,0.709,
2000-08,0.757,
2000-09,0.637,
2000-10,0.667,
2000-11,0.705,
2000-12,0.787,
2001-01,0.670,
2001-02,0.757,
2001-03,0.793,
2001-04,0.770,
2001-05,0.754,
2001-06,0.896,
2001-07,0.753,
2001-08,0.671,
2001-09,0.731,
2001-10,0.714,
2001-11,0.654,
2001-12,0.979,
2002-01,0.926,
2002-02,0.730,
2002-03,0.782,
2002-04,0.874,
2002-05,0.962,
2002-06,0.946,
2002-07,0.886,
2002-08,0.820,
2002-09,0.876,
2002-10,0.816,
2002-11,1.223,
2002-12,1.086,
2003-01,1.101,
2003-02,1.059,
2003-03,0.819,
2003-04,0.818,
2003-05,0.925,
2003-06,0.551,
2003-07,0.451,
2003-08,0.487,
2003-09,0.572,
2003-10,0.529,
2003-11,0.563,
2003-12,0.722,
2004-01,0.657,
2004-02,0.747,
2004-03,0.716,
2004-04,0.738,
2004-05,0.753,
2004-06,0.947,
2004-07,0.971,
2004-08,0.841,
2004-09,0.789,
2004-10,1.019,
2004-11,1.122,
2004-12,1.453,
2005-01,1.064,
2005-02,1.248,
2005-03,1.349,
2005-04,1.302,
2005-05,1.284,
2005-06,1.456,
2005-07,1.430,
2005-08,1.328,
2005-09,1.150,
2005-10,1.145,
2005-11,1.535,
2005-12,1.685,
2006-01,1.349,
2006-02,1.710,
2006-03,2.344,
2006-04,2.273,
2006-05,1.887,
2006-06,1.857,
2006-07,1.635,
2006-08,1.418,
2006-09,1.634,
2006-10,1.532,
2006-11,1.531,
2006-12,2.551,
2007-01,2.117,
2007-02,2.126,
2007-03,2.018,
2007-04,1.810,
2007-05,1.361,
2007-06,1.671,
2007-07,1.646,
2007-08,1.659,
2007-09,1.664,
2007-10,1.831,
2007-11,1.768,
2007-12,1.495,
2008-01,1.589,
2008-02,1.809,
2008-03,1.925,
2008-04,1.908,
2008-05,2.054,
2008-06,2.461,
2008-07,1.657,
2008-08,1.476,
2008-09,1.372,
2008-10,1.217,
2008-11,1.270,
2008-12,1.034,
2009-01,0.990,
2009-02,0.955,
2009-03,0.793,
2009-04,0.827,
2009-05,0.791,
2009-06,0.869,
2009-07,0.965,
2009-08,0.782,
2009-09,1.009,
2009-10,0.967,
2009-11,0.938,
2009-12,0.796,
2010-01,0.752,
2010-02,0.795,
2010-03,0.915,
2010-04,0.618,
2010-05,0.645,
2010-06,1.081,
2010-07,0.988,
2010-08,1.089,
2010-09,0.804,
2010-10,1.079,
2010-11,1.071,
2010-12,0.742,
2011-01,0.744,
2011-02,1.084,
2011-03,0.936,
2011-04,0.902,
2011-05,1.227,
2011-06,0.971,
2011-07,1.087,
2011-08,1.247,
2011-09,0.996,
2011-10,1.028,
2011-11,0.986,
2011-12,0.832,
2012-01,0.877,
2012-02,0.788,
2012-03,0.729,
2012-04,0.770,
2012-05,0.777,
2012-06,0.838,
2012-07,0.874,
2012-08,1.126,
2012-09,0.865,
2012-10,0.853,
2012-11,1.147,
2012-12,0.964,
2013-01,1.050,
2013-02,1.071,
2013-03,0.774,
2013-04,0.747,
2013-05,0.720,
2013-06,0.734,
2013-07,0.754,
2013-08,0.872,
2013-09,1.042,
2013-10,1.025,
2013-11,0.892,
2013-12,0.789,
2014-01,0.887,
2014-02,1.123,
2014-03,1.231,
2014-04,0.988,
2014-05,1.064,
2014-06,1.038,
2014-07,1.131,
2014-08,1.078,
2014-09,1.046,
2014-10,1.177,
2014-11,1.204,
2014-12,1.180,Provisional value
