"",BBK01.CEFT0M,BBK01.CEFT0M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:26,
1999-01,10.3,
1999-04,10.6,
1999-07,10.6,
1999-10,10.4,
2000-01,10.3,
2000-04,10.1,
2000-07,9.9,
2000-10,9.7,
2001-01,9.6,
2001-04,9.5,
2001-07,9.3,
2001-10,9.4,
2002-01,9.2,
2002-04,9.1,
2002-07,9.1,
2002-10,8.9,
2003-01,9.1,
2003-04,9.2,
2003-07,9.3,
2003-10,9.2,
2004-01,9.4,
2004-04,9.5,
2004-07,9.6,
2004-10,9.5,
2005-01,9.8,
2005-04,9.9,
2005-07,10.1,
2005-10,9.6,
2006-01,9.6,
2006-04,9.3,
2006-07,9.3,
2006-10,8.9,
2007-01,8.6,
2007-04,8.3,
2007-07,8.0,
2007-10,7.7,
2008-01,7.6,
2008-04,7.4,
2008-07,7.2,
2008-10,7.1,
2009-01,7.6,
2009-04,8.2,
2009-07,8.7,
2009-10,9.0,
2010-01,9.5,
2010-04,9.9,
2010-07,10.1,
2010-10,9.9,
2011-01,10.0,
2011-04,9.6,
2011-07,9.4,
2011-10,9.2,
2012-01,9.5,
2012-04,9.6,
2012-07,10.1,
2012-10,10.2,
2013-01,10.4,
2013-04,10.3,
2013-07,10.1,
2013-10,9.7,
2014-01,9.7,
2014-04,9.5,
2014-07,9.5,
